Text 1	Text 2	Category
הוא	be | Stems: Qal (3514), Niphal (21) | Nouns: יֵשׁ is; הַוָּה falling); אִיתַי entity; הֹוָה ruin	Freq100plus
אות	come | Stems: Niphal (4) | Nouns: אֵת self; אוֹת signal; אָת portent; יַת sign of the object of a verb	Freq100plus
בנה	build | Stems: Qal (331), Niphal (28) | Nouns: בֵּן son; בַּיִת a house; בַּת daughter; אֶבֶן stone	Freq100plus
עלה	ascend | Stems: Qal (595), Niphal (16), Hiphil (213), Hophal (3), Hithpael (1) | Nouns: עַל above; מַעַל upper part; מַעֲלָה elevation; עַל about, against, concerning, for, (there-) fore, from, in, × more, of, (there-, u	Freq100plus
אשר	who | Nouns: שָׁם there	Freq100plus
לא	not | Nouns: אַל not; אֱלִיל nothing; אַל תַּשְׁחֵת 'Thou must not destroy'; אִלּוּ nay	Freq100plus
אל	near	Freq100plus
אמר	say | Stems: Qal (5280), Niphal (21), Hiphil (1), Hithpael (1) | Nouns: אֱמֹרִי Emorite; אֵמֶר something said; אֹמֶר promise, speech, thing, word.; מַאֲמַר said	Freq100plus
כל	whole | Nouns: כֹּל all, any,   (forasmuch) as,   be-(for this) cause, every,   no (manner, -ne),   	Freq100plus
כי	relative conjunction	Freq100plus
מלך	reign | Stems: Qal (243), Niphal (1), Hiphil (40), Hophal (1) | Nouns: מֶלֶךְ king; מֶלֶךְ king; מַמְלָכָה dominion; מַלְכָּה queen	Freq100plus
עמם	associate | Stems: Hophal (1) | Nouns: עַם people; עִם with; עִמָּד along with; עֻמָּה conjunction	Freq100plus
אנש	be frail | Stems: Qal (2), Niphal (1), Hithpael (1) | Nouns: אִישׁ man; אִשָּׁה woman; אֱנוֹשׁ mortal; אִישׁוֹן little man	Freq100plus
עשה	do | Stems: Qal (2410), Niphal (98), Piel (2), Pual (1) | Nouns: מַעֲשֶׂה action	Freq100plus
דבר	arrange | Stems: Qal (40), Niphal (4), Hiphil (2), Piel (1060), Pual (2), Hithpael (2) | Nouns: דָּבָר word; מִדְבָּר pasture; דֶּבֶר pestilence; דִּבְרָה reason	Freq100plus
אלוה	deity | Nouns: אֱלֹהִים gods; אֱלָהּ God	Freq100plus
יד	hand | Stems: Qal (5), Hiphil (66), Piel (2), Hithpael (11) | Nouns: יְהוּדִי Jehudite; תּוֹדָה extension; יַד hand, power.; יְהוּדִית Jewish	Freq100plus
בוא	go | Stems: Qal (1872), Hiphil (403), Hophal (24) | Nouns: תְּבוּאָה income; מָבוֹא entrance; מוֹבָא entrance; בְּאָה entrance	Freq100plus
הוא	he | Nouns: כֹּה like this; הֵנָּה hither; כָּכָה just so; הֵנָּה themselves	Freq100plus
ארץ	earth | Nouns: אֲרַע earth; אַרְעִית bottom; אֲרַק earth	Freq100plus
שרה	prevail | Stems: Qal (2) | Nouns: יִשְׂרְאֵלִי a Jisreelite; מִשְׂרָה empire	Freq100plus
יום	day | Nouns: יוֹמָם daily; יוֹם day; יֵם warm spring; נְמוּאֵלִי Nemuelite	Freq100plus
עדה	advance | Stems: Qal (8), Hiphil (1) | Nouns: עַד as far; עַתָּה at this time; עֵת time; בְּעַד in up to	Freq100plus
פנים	face | Nouns: פְּנִימָה faceward	Freq100plus
נתן	give | Stems: Qal (1619), Niphal (82), Hophal (8) | Nouns: מַתָּנָה present; מַתָּת present; מַתָּן present; מַתְּנָא gift.	Freq100plus
אב	father | Nouns: אוֹב mumble; אַב father.	Freq100plus
זה	this | Nouns: זֹאת this; דִּי that; זוּ this; זֹה this	Freq100plus
הלך	walk | Stems: Qal (1350), Niphal (1), Hiphil (29), Piel (22), Hithpael (62) | Nouns: הֲלִיכָה walking; מַהֲלָךְ walk; הֲלָךְ journey; הֵלֶךְ journey	Freq100plus
ראה	see | Stems: Qal (1040), Niphal (99), Hiphil (14), Hophal (4), Pual (1), Hithpael (5) | Nouns: מַרְאֶה view; רְאוּבֵנִי Reubenite; מַרְאָה vision; רֹאֶה seer	Freq100plus
שמע	hear | Stems: Qal (978), Niphal (43), Hiphil (45), Piel (2), M (1) | Nouns: שֵׁמַע heard; יִשְׁמָעֵאלִי Jishmaelite; מִשְׁמַעַת audience; שֹׁמַע report	Freq100plus
שום	put | Stems: Qal (487), Hiphil (4), Hophal (1), Q (1) | Nouns: שֵׁם appellation; שֻׁם name.; תְּשׂוּמֶת deposit	Freq100plus
אנכי	I | Nouns: אֲנִי I; אֲנַחְנוּ we; נַחְנוּ we	Freq100plus
מה	what? | Stems: Hithpael (8) | Nouns: מִי who?; מָן whatness; מָן who; מָה how great (mighty), that which, what(-soever), why.	Freq100plus
מן	part | Nouns: מִן according, after,   because,   before, by, for, from, × him, × more than, (out) 	Freq100plus
כון	be erect | Stems: Niphal (67), Hiphil (100), Hophal (6), Piel (18), Pual (2), Hithpael (4) | Nouns: כֵּן set upright; אַךְ affirmation; אָכֵן firmly; כֵּן stand	Freq100plus
עבד	work | Stems: Qal (199), Niphal (4), Hiphil (5), Pual (2) | Nouns: עֶבֶד servant; עֲבַד servant; עַבְדוּת servitude; עֲבִידָה labor	Freq100plus
הן	lo! | Nouns: הִנֵּה lo!; הֵן lo!; לָהֵן for if	Freq100plus
עיר	city	Freq100plus
ידע	know | Stems: Qal (752), Niphal (40), Hiphil (42), Hophal (3), Piel (1), Pual (1), Hithpael (2) | Nouns: דַּעַת knowledge; יִדְּעֹנִי knowing; דֵּעָה knowledge; דֵּעַ knowledge	Freq100plus
אתה	thou | Nouns: אַנְתָּה thou	Freq100plus
ישב	sit | Stems: Qal (966), Niphal (8), Hiphil (27), Hophal (2), Piel (1) | Nouns: שֶׁבֶת session; שִׁיבָה residence	Freq100plus
יצא	go | Stems: Qal (729), Hiphil (197), Hophal (5), Shaphel (1) | Nouns: צֶאֱצָא issue; צָאָה issue; יָצִיא issue	Freq100plus
שוב	turn | Stems: Qal (644), Hiphil (264), Hophal (5), Piel (6) | Nouns: שׁוֹבָב apostate; שׁוּבָה return; שִׁיבָה return	Freq100plus
אם	lo!	Freq100plus
מות	die | Stems: Qal (601), Hiphil (67), Hophal (68), Piel (4) | Nouns: מָוֶת death; מָמוֹת mortal disease; תְּמוּתָה execution; מוֹת death	Freq100plus
לקח	take | Stems: Qal (848), Niphal (9), Hophal (6), Pual (9), Hithpael (2) | Nouns: לֶקַח received; מַלְקוֹחַ jaws; מִקָּח reception; מַקָּחָה received	Freq100plus
אנה	groan | Stems: Qal (2), Piel (1), Pual (2), Hithpael (1) | Nouns: אֵת nearness; אֳנִיָּה ship; אֳנִי ship; מָאן utensil	Freq100plus
עין	eye | Stems: Qal (1) | Nouns: עַיִן eye	Freq100plus
שלח	send | Stems: Qal (473), Niphal (1), Hiphil (5), Piel (182), Pual (10) | Nouns: שֻׁלְחָן table; שֶׁלַח missile	Freq100plus
לבב	be enclosed | Stems: Niphal (1), Piel (2) | Nouns: לֵב heart; לֵבָב heart; לְבַב heart.; לִבָּה heart	Freq100plus
אין	nonentity | Nouns: אַיֵּה where?; אַי where?; אַיִן where?; אֵיפֹה what place?	Freq100plus
קרא	encounter | Stems: Qal (679), Niphal (68), Hiphil (1), Pual (6) | Nouns: מִקְרָא called; קֹרֵא caller; קָרִיא called; קְרִיאָה proclamation	Freq100plus
אכל	eat | Stems: Qal (646), Niphal (45), Hiphil (5), Pual (5) | Nouns: אֹכֶל food; מַאֲכָל eatable; מַאֲכֶלֶת eat; מַאֲכֹלֶת eaten	Freq100plus
אח	brother | Nouns: אָחוֹת sister; אֲחוֹחִי Achochite; אַח brother.; אַחֲוָה fraternity	Freq100plus
שנה	year | Nouns: שְׁנָה year.	Freq100plus
אחר	loiter | Stems: Qal (1), Hiphil (1), Piel (15) | Nouns: אַחַר the hind part; אַחֵר hinder; אַחֲרִית last; מָחָר deferred	Freq100plus
ענה	eye | Stems: Qal (250), Niphal (9), Hiphil (3), Piel (33), Pual (3), Hithpael (6) | Nouns: מַעַן heed; עָנִי depressed; עֳנִי depression; עָנָו depressed	Freq100plus
