#separator:tab
#html:true
#notetype:Hebrew Root
#deck:Biblical Hebrew::Root Deck
#columns:Front	Back	Frequency	Tags
#tags column:4
הוא	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">הָוָא</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">be</td><td style="text-align:right;padding:2px 8px">3514</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Niphal</td><td style="padding:2px 8px;font-style:italic">it has occurred</td><td style="text-align:right;padding:2px 8px">21</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">יֵשׁ</td><td style="padding:2px 8px">Particle</td><td style="padding:2px 8px;font-style:italic">is</td><td style="text-align:right;padding:2px 8px">101</td></tr><tr><td style="direction:rtl;padding:2px 8px">הַוָּה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">falling)</td><td style="text-align:right;padding:2px 8px">16</td></tr><tr><td style="direction:rtl;padding:2px 8px">אִיתַי</td><td style="padding:2px 8px">Particle</td><td style="padding:2px 8px;font-style:italic">entity</td><td style="text-align:right;padding:2px 8px">5</td></tr><tr><td style="direction:rtl;padding:2px 8px">הֹוָה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">ruin</td><td style="text-align:right;padding:2px 8px">3</td></tr></table>	11356	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Niphal Hebrew:POS:Nominal Hebrew:Freq:100plus
אות	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">אוּת</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Niphal</td><td style="padding:2px 8px;font-style:italic">we will agree</td><td style="text-align:right;padding:2px 8px">4</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">אֵת</td><td style="padding:2px 8px">Particle</td><td style="padding:2px 8px;font-style:italic">self</td><td style="text-align:right;padding:2px 8px">10946</td></tr><tr><td style="direction:rtl;padding:2px 8px">אוֹת</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">signal</td><td style="text-align:right;padding:2px 8px">80</td></tr><tr><td style="direction:rtl;padding:2px 8px">אָת</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">portent</td><td style="text-align:right;padding:2px 8px">2</td></tr><tr><td style="direction:rtl;padding:2px 8px">יַת</td><td style="padding:2px 8px">Particle</td><td style="padding:2px 8px;font-style:italic">sign of the object of a verb</td><td style="text-align:right;padding:2px 8px">1</td></tr></table>	11033	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Niphal Hebrew:POS:Nominal Hebrew:Freq:100plus
בנה	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">בָּנָה</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">he passed [the] night</td><td style="text-align:right;padding:2px 8px">331</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Niphal</td><td style="padding:2px 8px;font-style:italic">it will be rebuilt</td><td style="text-align:right;padding:2px 8px">28</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">בֵּן</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">son</td><td style="text-align:right;padding:2px 8px">4943</td></tr><tr><td style="direction:rtl;padding:2px 8px">בַּיִת</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">a house</td><td style="text-align:right;padding:2px 8px">2049</td></tr><tr><td style="direction:rtl;padding:2px 8px">בַּת</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">daughter</td><td style="text-align:right;padding:2px 8px">588</td></tr><tr><td style="direction:rtl;padding:2px 8px">אֶבֶן</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">stone</td><td style="text-align:right;padding:2px 8px">273</td></tr><tr><td style="direction:rtl;padding:2px 8px">בַּיִת</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">house.</td><td style="text-align:right;padding:2px 8px">23</td></tr><tr><td style="direction:rtl;padding:2px 8px">תַּבְנִית</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">structure</td><td style="text-align:right;padding:2px 8px">20</td></tr><tr><td style="direction:rtl;padding:2px 8px">תֶּבֶן</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">material</td><td style="text-align:right;padding:2px 8px">17</td></tr><tr><td style="direction:rtl;padding:2px 8px">בֵּית הַלַּחְמִי</td><td style="padding:2px 8px">Adj</td><td style="padding:2px 8px;font-style:italic">Beth-lechemite</td><td style="text-align:right;padding:2px 8px">8</td></tr></table>	9063	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Niphal Hebrew:POS:Nominal Hebrew:Freq:100plus
עלה	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">עָלָה</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">he went up</td><td style="text-align:right;padding:2px 8px">595</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Niphal</td><td style="padding:2px 8px;font-style:italic">it was taken up</td><td style="text-align:right;padding:2px 8px">16</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hiphil</td><td style="padding:2px 8px;font-style:italic">he offered up</td><td style="text-align:right;padding:2px 8px">213</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hophal</td><td style="padding:2px 8px;font-style:italic">it had been offered up</td><td style="text-align:right;padding:2px 8px">3</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hithpael</td><td style="padding:2px 8px;font-style:italic">he lift</td><td style="text-align:right;padding:2px 8px">1</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">עַל</td><td style="padding:2px 8px">Prep</td><td style="padding:2px 8px;font-style:italic">above</td><td style="text-align:right;padding:2px 8px">5774</td></tr><tr><td style="direction:rtl;padding:2px 8px">מַעַל</td><td style="padding:2px 8px">Adj</td><td style="padding:2px 8px;font-style:italic">upper part</td><td style="text-align:right;padding:2px 8px">111</td></tr><tr><td style="direction:rtl;padding:2px 8px">מַעֲלָה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">elevation</td><td style="text-align:right;padding:2px 8px">47</td></tr><tr><td style="direction:rtl;padding:2px 8px">עַל</td><td style="padding:2px 8px">Prep</td><td style="padding:2px 8px;font-style:italic">about, against, concerning, for, (there-) fore, from, in, × more, of, (there-, u</td><td style="text-align:right;padding:2px 8px">40</td></tr><tr><td style="direction:rtl;padding:2px 8px">עֶלְיוֹן</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">elevation</td><td style="text-align:right;padding:2px 8px">32</td></tr><tr><td style="direction:rtl;padding:2px 8px">עֲלִיָּה</td><td style="padding:2px 8px">Noun (f)</td><td style="padding:2px 8px;font-style:italic">lofty</td><td style="text-align:right;padding:2px 8px">20</td></tr><tr><td style="direction:rtl;padding:2px 8px">מַעֲלֶה</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">elevation</td><td style="text-align:right;padding:2px 8px">18</td></tr><tr><td style="direction:rtl;padding:2px 8px">עָלֶה</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">leaf</td><td style="text-align:right;padding:2px 8px">18</td></tr></table>	7019	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Niphal Hebrew:Stem:Hiphil Hebrew:Stem:Hophal Hebrew:Stem:Hithpael Hebrew:POS:Nominal Hebrew:Freq:100plus
אשר	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">אֲשֶׁר</div><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">שָׁם</td><td style="padding:2px 8px">Adj</td><td style="padding:2px 8px;font-style:italic">there</td><td style="text-align:right;padding:2px 8px">834</td></tr></table>	6334	Hebrew:Root Hebrew:POS:Nominal Hebrew:Freq:100plus
לא	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">לֹא</div><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">אַל</td><td style="padding:2px 8px">Adj</td><td style="padding:2px 8px;font-style:italic">not</td><td style="text-align:right;padding:2px 8px">724</td></tr><tr><td style="direction:rtl;padding:2px 8px">אֱלִיל</td><td style="padding:2px 8px">Adj</td><td style="padding:2px 8px;font-style:italic">nothing</td><td style="text-align:right;padding:2px 8px">20</td></tr><tr><td style="direction:rtl;padding:2px 8px">אַל תַּשְׁחֵת</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">'Thou must not destroy'</td><td style="text-align:right;padding:2px 8px">8</td></tr><tr><td style="direction:rtl;padding:2px 8px">אִלּוּ</td><td style="padding:2px 8px">Conj</td><td style="padding:2px 8px;font-style:italic">nay</td><td style="text-align:right;padding:2px 8px">2</td></tr><tr><td style="direction:rtl;padding:2px 8px">אַלְקוּם</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">non-rising</td><td style="text-align:right;padding:2px 8px">1</td></tr></table>	5931	Hebrew:Root Hebrew:POS:Nominal Hebrew:Freq:100plus
אל	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">אֵל</div>	5518	Hebrew:Root Hebrew:Freq:100plus
אמר	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">אָמַר</div><table style="border-collapse:collapse;margin-bottom:8px"><tr><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Stem</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Qal</td><td style="padding:2px 8px;font-style:italic">he said</td><td style="text-align:right;padding:2px 8px">5280</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Niphal</td><td style="padding:2px 8px;font-style:italic">it will be said</td><td style="text-align:right;padding:2px 8px">21</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hiphil</td><td style="padding:2px 8px;font-style:italic">you have declared</td><td style="text-align:right;padding:2px 8px">1</td></tr><tr><td style="padding:2px 8px">Verb</td><td style="padding:2px 8px">Hithpael</td><td style="padding:2px 8px;font-style:italic">they boast</td><td style="text-align:right;padding:2px 8px">1</td></tr></table><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">אֱמֹרִי</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">Emorite</td><td style="text-align:right;padding:2px 8px">87</td></tr><tr><td style="direction:rtl;padding:2px 8px">אֵמֶר</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">something said</td><td style="text-align:right;padding:2px 8px">49</td></tr><tr><td style="direction:rtl;padding:2px 8px">אֹמֶר</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">promise, speech, thing, word.</td><td style="text-align:right;padding:2px 8px">6</td></tr><tr><td style="direction:rtl;padding:2px 8px">מַאֲמַר</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">said</td><td style="text-align:right;padding:2px 8px">3</td></tr><tr><td style="direction:rtl;padding:2px 8px">אָמִיר</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">summit</td><td style="text-align:right;padding:2px 8px">2</td></tr><tr><td style="direction:rtl;padding:2px 8px">מֵאמַר</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">appointment, word.</td><td style="text-align:right;padding:2px 8px">2</td></tr><tr><td style="direction:rtl;padding:2px 8px">אִמַּר</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">lamb</td><td style="text-align:right;padding:2px 8px">1</td></tr></table>	5514	Hebrew:Root Hebrew:POS:Verb Hebrew:Stem:Qal Hebrew:Stem:Niphal Hebrew:Stem:Hiphil Hebrew:Stem:Hithpael Hebrew:POS:Nominal Hebrew:Freq:100plus
כל	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">כֹּל</div><table style="border-collapse:collapse"><tr><th style="padding:2px 8px">Form</th><th style="padding:2px 8px">POS</th><th style="padding:2px 8px">Gloss</th><th style="padding:2px 8px;text-align:right">N</th></tr><tr><td style="direction:rtl;padding:2px 8px">כֹּל</td><td style="padding:2px 8px">Noun (m)</td><td style="padding:2px 8px;font-style:italic">all, any,   (forasmuch) as,   be-(for this) cause, every,   no (manner, -ne),   </td><td style="text-align:right;padding:2px 8px">43</td></tr></table>	5462	Hebrew:Root Hebrew:POS:Nominal Hebrew:Freq:100plus
כי	<div style="font-size:1.5em;direction:rtl;margin-bottom:8px">כִּי</div>	4483	Hebrew:Root Hebrew:Freq:100plus
