#separator:tab
#html:false
#notetype:Basic
#deck:BBH::Morphology::Chapter 35 — Hithpael Weak
#tags column:3

Hithpael Wayyiqtol prefix	וַיִּתְ (waw-Patach + Yod-Hireq + Taw) — e.g. וַיִּתְפַּלֵּל, וַיִּתְנַחֵם; contrast Piel וַיְ and Qal וַיִּ	hithpael-wayyiqtol diagnostic bbh-ch35
Geminate Hithpael: when can Dagesh in R2 drop?	Before Shewa — sqnmlwy rule; e.g. הִתְפַּלְלוּ (Perf 3cp); Pathach under R1 and undoubled R2 retained in most forms	diagnostic geminate bbh-ch35
II-Guttural virtual doubling in Hithpael: what changes from the strong verb?	No Dagesh in R2 (guttural rejects it); Pathach under R1 preserved as virtual doubling; guttural takes Patach or Hateph-Patach	diagnostic ii-guttural-virtual bbh-ch35
II-Guttural compensatory lengthening in Hithpael: what changes?	ר rejects Dagesh; Pathach under R1 lengthens to Qamets; no Dagesh in ר; rely on הִתְ/יִתְ/מִתְ prefixes for stem ID	diagnostic ii-guttural-comp bbh-ch35
III-ה Hithpael Infinitive Construct: distinctive ending?	וֹת (Holem-Waw + Taw) — e.g. הִתְגַּלּוֹת; unique to III-ה Hithpael; not found in other stems	diagnostic iii-he hithpael-inf-construct bbh-ch35
I-שׁ Hithpael: what phonological change occurs?	Metathesis — ת swaps with שׁ → הִשְׁתַּ prefix (and יִשְׁתַּ, מִשְׁתַּ); most important: הִשְׁתַּחֲוָה (bow down/worship) from שׁחה — 173× in OT	diagnostic metathesis bbh-ch35
I-נ in Hithpael: does נ assimilate into R2?	No — הִתְ prefix ת stands between prefix vowel and נ, blocking assimilation; e.g. הִתְנַחֵם (not *הִדַּנֵּחֵם)	diagnostic i-nun bbh-ch35
הִתְפַּלֵּל	פלל Hithpael+Perfect+3ms — "he prayed" — geminate (לל); most common Hithpael verb in OT; identical form to Imperative 2ms	hithpael-perfect geminate bbh-ch35
הִתְפַּלַּלְתִּי	פלל Hithpael+Perfect+1cs — "I prayed" — Pathach under doubled ל before suffix תִּי	hithpael-perfect geminate bbh-ch35
הִתְפַּלְלוּ	פלל Hithpael+Perfect+3cp — "they prayed" — Dagesh in second ל dropped before Shewa; sqnmlwy rule	hithpael-perfect geminate bbh-ch35
יִתְפַּלֵּל	פלל Hithpael+Imperfect+3ms — "he will pray" — יִתְ preformative; Pathach + doubled ל + Tsere	hithpael-imperfect geminate bbh-ch35
אֶתְפַּלֵּל	פלל Hithpael+Imperfect+1cs — "I will pray" — אֶתְ preformative (1cs unique form)	hithpael-imperfect geminate bbh-ch35
וַיִּתְפַּלֵּל	פלל Hithpael+Wayyiqtol+3ms — "and he prayed" — וַיִּתְ prefix; 1 Kgs 8:54	hithpael-wayyiqtol geminate bbh-ch35
הִתְפַּלֵּל (imperative)	פלל Hithpael+Imperative+2ms — "pray!" — identical form to Perfect 3ms; context distinguishes	hithpael-imperative geminate bbh-ch35
מִתְפַּלֵּל	פלל Hithpael+Participle+ms — "praying" — מִתְ prefix + Pathach + doubled ל + Tsere	hithpael-participle geminate bbh-ch35
וְהִתְפַּלֵּל	פלל Hithpael+Weqatal+3ms — "and he will pray / then he prayed" — וְ + Hithpael Perfect 3ms; sequential action	hithpael-weqatal geminate bbh-ch35
הִתְגַּלָּה	גלה Hithpael+Perfect+3ms — "he revealed himself" — Dagesh in ל (R2); Qamets-He ending (III-ה)	hithpael-perfect iii-he bbh-ch35
הִתְגַּלִּיתָ	גלה Hithpael+Perfect+2ms — "you revealed yourself" — Hireq-Yod-Taw suffix (III-ה pattern)	hithpael-perfect iii-he bbh-ch35
הִתְגַּלּוּ	גלה Hithpael+Perfect+3cp — "they revealed themselves" — doubled ל before וּ; III-ה contracts	hithpael-perfect iii-he bbh-ch35
יִתְגַּלֶּה	גלה Hithpael+Imperfect+3ms — "he will reveal himself" — Seghol-He ending (III-ה Imperfect)	hithpael-imperfect iii-he bbh-ch35
יִתְגַּלּוּ	גלה Hithpael+Imperfect+3mp — "they will reveal themselves" — doubled ל before וּ	hithpael-imperfect iii-he bbh-ch35
הִתְגַּלּוֹת	גלה Hithpael+Infinitive Construct — "to reveal oneself" — unique III-ה Hithpael Inf. Cs. ending: וֹת	hithpael-inf-construct iii-he bbh-ch35
מִתְגַּלֶּה	גלה Hithpael+Participle+ms — "revealing himself" — מִתְ prefix; Seghol-He ending (III-ה)	hithpael-participle iii-he bbh-ch35
הִתְנַחֵם	נחם Hithpael+Perfect+3ms — "he relented" — Gen 6:6; ח rejects Dagesh; Pathach under נ = virtual doubling; Tsere under ח; נ intact after הִתְ (I-נ does not assimilate)	hithpael-perfect ii-guttural-virtual i-nun bbh-ch35
הִתְנַחַמְתָּ	נחם Hithpael+Perfect+2ms — "you relented" — Patach under ח in suffix forms	hithpael-perfect ii-guttural-virtual i-nun bbh-ch35
הִתְנַחֲמוּ	נחם Hithpael+Perfect+3cp — "they relented" — Hateph-Patach under ח before Shewa	hithpael-perfect ii-guttural-virtual i-nun bbh-ch35
יִתְנַחֵם	נחם Hithpael+Imperfect+3ms — "he will relent" — יִתְ preformative; no Dagesh in ח; Tsere under ח	hithpael-imperfect ii-guttural-virtual i-nun bbh-ch35
וַיִּתְנַחֵם	נחם Hithpael+Wayyiqtol+3ms — "and he relented" — Exo 32:14; the LORD relented; וַיִּתְ prefix	hithpael-wayyiqtol ii-guttural-virtual i-nun bbh-ch35
הִתְנַחֵם (imperative)	נחם Hithpael+Imperative+2ms — "relent! / be consoled!" — identical form to Perfect 3ms	hithpael-imperative ii-guttural-virtual i-nun bbh-ch35
מִתְנַחֵם	נחם Hithpael+Participle+ms — "relenting, being consoled" — מִתְ prefix; no Dagesh in ח	hithpael-participle ii-guttural-virtual i-nun bbh-ch35
הִתְבָּרֵךְ	ברך Hithpael+Perfect+3ms — "he blessed himself / was blessed" — ר rejects Dagesh; Pathach under ב lengthens to Qamets; Tsere under ר	hithpael-perfect ii-guttural-comp bbh-ch35
הִתְבָּרַכְתָּ	ברך Hithpael+Perfect+2ms — "you blessed yourself" — Patach under ר before suffix; Qamets under ב retained	hithpael-perfect ii-guttural-comp bbh-ch35
יִתְבָּרֵךְ	ברך Hithpael+Imperfect+3ms — "he will bless himself / be blessed" — יִתְ preformative; Qamets under ב; Tsere under ר	hithpael-imperfect ii-guttural-comp bbh-ch35
מִתְבָּרֵךְ	ברך Hithpael+Participle+ms — "blessing himself / being blessed" — מִתְ prefix; Qamets under ב; Tsere under ר	hithpael-participle ii-guttural-comp bbh-ch35
