book_id,book,total_pairs,follows_lxx,mixed,mt_leaning,pct_follows_lxx,pct_mixed,pct_mt_leaning,mean_lxx_pct,median_lxx_pct
Mat,Matthew,246,5,17,224,2.0,6.9,91.1,14.9,11.1
Mrk,Mark,34,2,7,25,5.9,20.6,73.5,26.3,24.2
Luk,Luke,96,4,7,85,4.2,7.3,88.5,15.8,9.1
Jhn,John,148,0,11,137,0.0,7.4,92.6,12.9,9.1
Act,Acts,42,4,5,33,9.5,11.9,78.6,19.6,11.1
Rom,Romans,131,3,13,115,2.3,9.9,87.8,13.8,0.0
1Co,1 Corinthians,58,2,9,47,3.4,15.5,81.0,15.8,3.1
2Co,2 Corinthians,90,0,11,79,0.0,12.2,87.8,16.4,12.9
Gal,Galatians,23,0,1,22,0.0,4.3,95.7,16.2,14.3
Eph,Ephesians,76,0,4,72,0.0,5.3,94.7,13.4,12.5
Php,Philippians,43,0,0,43,0.0,0.0,100.0,5.6,0.0
Col,Colossians,23,0,2,21,0.0,8.7,91.3,14.5,10.0
1Th,1 Thessalonians,4,0,0,4,0.0,0.0,100.0,12.5,12.5
2Th,2 Thessalonians,3,0,0,3,0.0,0.0,100.0,13.9,16.7
1Ti,1 Timothy,6,0,0,6,0.0,0.0,100.0,13.4,14.3
2Ti,2 Timothy,21,0,0,21,0.0,0.0,100.0,7.5,0.0
Tit,Titus,4,0,0,4,0.0,0.0,100.0,4.2,0.0
Phm,Philemon,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Heb,Hebrews,127,2,6,119,1.6,4.7,93.7,12.2,9.1
Jas,James,59,1,1,57,1.7,1.7,96.6,8.2,0.0
1Pe,1 Peter,55,5,1,49,9.1,1.8,89.1,19.8,11.8
2Pe,2 Peter,13,0,1,12,0.0,7.7,92.3,8.3,0.0
1Jn,1 John,21,0,0,21,0.0,0.0,100.0,12.5,11.1
2Jn,2 John,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3Jn,3 John,1,0,0,1,0.0,0.0,100.0,0.0,0.0
Jud,Jude,1,0,0,1,0.0,0.0,100.0,26.7,26.7
Rev,Revelation,57,0,10,47,0.0,17.5,82.5,20.4,17.4
