term,strongs,book,chapter,verse,lxx_word,case,number
λόγος,G3056,Gen,4,23,λόγους,Accusative,Plural
λόγος,G3056,Gen,29,13,λόγους,Accusative,Plural
λόγος,G3056,Gen,34,18,λόγοι,Nominative,Plural
λόγος,G3056,Exo,4,28,λόγους,Accusative,Plural
λόγος,G3056,Exo,5,9,λόγοις,Dative,Plural
λόγος,G3056,Exo,18,19,λόγους,Accusative,Plural
λόγος,G3056,Exo,19,7,λόγους,Accusative,Plural
λόγος,G3056,Exo,19,8,λόγους,Accusative,Plural
λόγος,G3056,Exo,20,1,λόγους,Accusative,Plural
λόγος,G3056,Exo,24,3,λόγους,Accusative,Plural
λόγος,G3056,Exo,24,8,λόγων,Genitive,Plural
λόγος,G3056,Exo,33,17,λόγον,Accusative,Singular
λόγος,G3056,Exo,34,27,λόγων,Genitive,Plural
λόγος,G3056,Exo,34,28,λόγους,Accusative,Plural
λόγος,G3056,Exo,35,1,λόγοι,Nominative,Plural
λόγος,G3056,Lev,8,36,λόγους,Accusative,Plural
λόγος,G3056,Num,11,23,λόγος,Nominative,Singular
λόγος,G3056,Num,12,6,λόγων,Genitive,Plural
λόγος,G3056,Num,16,31,λόγους,Accusative,Plural
λόγος,G3056,Num,21,21,λόγοις,Dative,Plural
λόγος,G3056,Deu,1,1,λόγοι,Nominative,Plural
λόγος,G3056,Deu,1,18,λόγους,Accusative,Plural
λόγος,G3056,Deu,1,32,λόγῳ,Dative,Singular
λόγος,G3056,Deu,1,34,λόγων,Genitive,Plural
λόγος,G3056,Deu,2,26,λόγοις,Dative,Plural
λόγος,G3056,Deu,3,26,λόγον,Accusative,Singular
λόγος,G3056,Deu,4,9,λόγους,Accusative,Plural
λόγος,G3056,Deu,4,30,λόγοι,Nominative,Plural
λόγος,G3056,Deu,5,28,λόγων,Genitive,Plural
λόγος,G3056,Deu,5,28,λόγων,Genitive,Plural
λόγος,G3056,Deu,9,10,λόγοι,Nominative,Plural
λόγος,G3056,Deu,10,4,λόγους,Accusative,Plural
λόγος,G3056,Deu,12,28,λόγους,Accusative,Plural
λόγος,G3056,Deu,13,4,λόγων,Genitive,Plural
λόγος,G3056,Deu,13,15,λόγος,Nominative,Singular
λόγος,G3056,Deu,16,19,λόγους,Accusative,Plural
λόγος,G3056,Deu,22,14,λόγους,Accusative,Plural
λόγος,G3056,Deu,22,17,λόγους,Accusative,Plural
λόγος,G3056,Deu,22,20,λόγος,Nominative,Singular
λόγος,G3056,Deu,27,3,λόγους,Accusative,Plural
λόγος,G3056,Deu,27,26,λόγοις,Dative,Plural
λόγος,G3056,Deu,28,14,λόγων,Genitive,Plural
λόγος,G3056,Deu,28,69,λόγοι,Nominative,Plural
λόγος,G3056,Deu,29,8,λόγους,Accusative,Plural
λόγος,G3056,Deu,31,1,λόγους,Accusative,Plural
λόγος,G3056,Deu,31,12,λόγους,Accusative,Plural
λόγος,G3056,Deu,31,24,λόγους,Accusative,Plural
λόγος,G3056,Deu,31,28,λόγους,Accusative,Plural
λόγος,G3056,Deu,32,44,λόγους,Accusative,Plural
λόγος,G3056,Deu,32,46,λόγους,Accusative,Plural
λόγος,G3056,Deu,32,46,λόγους,Accusative,Plural
λόγος,G3056,Deu,32,47,λόγος,Nominative,Singular
λόγος,G3056,Deu,32,47,λόγου,Genitive,Singular
λόγος,G3056,Deu,33,3,λόγων,Genitive,Plural
λόγος,G3056,Jos,2,20,λόγους,Accusative,Plural
λόγος,G3056,Jos,14,7,λόγον,Accusative,Singular
λόγος,G3056,Jos,22,30,λόγους,Accusative,Plural
λόγος,G3056,Jos,22,32,λόγους,Accusative,Plural
λόγος,G3056,Jos,23,14,λόγος,Nominative,Singular
λόγος,G3056,Jos,23,14,λόγων,Genitive,Plural
λόγος,G3056,Jdg,2,4,λόγους,Accusative,Plural
λόγος,G3056,Jdg,2,17,λόγων,Genitive,Plural
λόγος,G3056,Jdg,3,19,λόγος,Nominative,Singular
λόγος,G3056,Jdg,3,20,λόγος,Nominative,Singular
λόγος,G3056,Jdg,5,29,λόγους,Accusative,Plural
λόγος,G3056,Jdg,8,3,λόγον,Accusative,Singular
λόγος,G3056,Jdg,9,3,λόγους,Accusative,Plural
λόγος,G3056,Jdg,9,30,λόγους,Accusative,Plural
λόγος,G3056,Jdg,11,11,λόγους,Accusative,Plural
λόγος,G3056,Jdg,11,28,λόγων,Genitive,Plural
λόγος,G3056,Jdg,11,37,λόγον,Accusative,Singular
λόγος,G3056,Jdg,13,12,λόγος,Nominative,Singular
λόγος,G3056,Jdg,16,16,λόγοις,Dative,Plural
λόγος,G3056,Jdg,18,7,λόγον,Accusative,Singular
λόγος,G3056,Jdg,18,7,λόγον,Accusative,Singular
λόγος,G3056,Jdg,18,28,λόγος,Nominative,Singular
λόγος,G3056,Jdg,20,7,λόγον,Accusative,Singular
λόγος,G3056,Jdg,2,4,λόγους,Accusative,Plural
λόγος,G3056,Jdg,3,19,λόγος,Nominative,Singular
λόγος,G3056,Jdg,3,20,λόγος,Nominative,Singular
λόγος,G3056,Jdg,8,3,λόγον,Accusative,Singular
λόγος,G3056,Jdg,9,3,λόγους,Accusative,Plural
λόγος,G3056,Jdg,9,30,λόγους,Accusative,Plural
λόγος,G3056,Jdg,11,11,λόγους,Accusative,Plural
λόγος,G3056,Jdg,11,28,λόγων,Genitive,Plural
λόγος,G3056,Jdg,16,16,λόγοις,Dative,Plural
λόγος,G3056,Jdg,18,7,λόγος,Nominative,Singular
λόγος,G3056,Jdg,18,9,λόγος,Nominative,Singular
λόγος,G3056,Jdg,18,28,λόγος,Nominative,Singular
λόγος,G3056,Jdg,20,7,λόγον,Accusative,Singular
λόγος,G3056,Jdg,21,11,λόγος,Nominative,Singular
λόγος,G3056,Rut,4,7,λόγον,Accusative,Singular
λόγος,G3056,1Sa,3,17,λόγων,Genitive,Plural
λόγος,G3056,1Sa,3,18,λόγους,Accusative,Plural
λόγος,G3056,1Sa,3,19,λόγων,Genitive,Plural
λόγος,G3056,1Sa,8,21,λόγους,Accusative,Plural
λόγος,G3056,1Sa,11,4,λόγους,Accusative,Plural
λόγος,G3056,1Sa,15,11,λόγους,Accusative,Plural
λόγος,G3056,1Sa,15,24,λόγον,Accusative,Singular
λόγος,G3056,1Sa,16,18,λόγῳ,Dative,Singular
λόγος,G3056,1Sa,18,8,λόγου,Genitive,Singular
λόγος,G3056,1Sa,18,26,λόγος,Nominative,Singular
λόγος,G3056,1Sa,20,21,λόγος,Nominative,Singular
λόγος,G3056,1Sa,22,15,λόγον,Accusative,Singular
λόγος,G3056,1Sa,24,8,λόγοις,Dative,Plural
λόγος,G3056,1Sa,24,10,λόγων,Genitive,Plural
λόγος,G3056,1Sa,25,9,λόγους,Accusative,Plural
λόγος,G3056,1Sa,25,24,λόγον,Accusative,Singular
λόγος,G3056,1Sa,28,10,λόγῳ,Dative,Singular
λόγος,G3056,1Sa,28,20,λόγων,Genitive,Plural
λόγος,G3056,1Sa,28,21,λόγους,Accusative,Plural
λόγος,G3056,1Sa,29,10,λόγον,Accusative,Singular
λόγος,G3056,1Sa,30,24,λόγων,Genitive,Plural
λόγος,G3056,2Sa,1,4,λόγος,Nominative,Singular
λόγος,G3056,2Sa,3,8,λόγου,Genitive,Singular
λόγος,G3056,2Sa,3,13,λόγον,Accusative,Singular
λόγος,G3056,2Sa,7,17,λόγους,Accusative,Plural
λόγος,G3056,2Sa,7,21,λόγον,Accusative,Singular
λόγος,G3056,2Sa,7,28,λόγοι,Nominative,Plural
λόγος,G3056,2Sa,11,18,λόγους,Accusative,Plural
λόγος,G3056,2Sa,11,19,λόγους,Accusative,Plural
λόγος,G3056,2Sa,12,9,λόγον,Accusative,Singular
λόγος,G3056,2Sa,13,21,λόγους,Accusative,Plural
λόγος,G3056,2Sa,13,22,λόγου,Genitive,Singular
λόγος,G3056,2Sa,13,35,λόγον,Accusative,Singular
λόγος,G3056,2Sa,14,3,λόγους,Accusative,Plural
λόγος,G3056,2Sa,14,13,λόγος,Nominative,Singular
λόγος,G3056,2Sa,14,17,λόγος,Nominative,Singular
