book,total_words,sin_vocab_words,pct_frequency
Matthew,18882,24.0,0.1271
Mark,11865,19.0,0.1601
Luke,20119,39.0,0.1938
John,16069,26.0,0.1618
Acts,18954,13.0,0.0686
Romans,7180,85.0,1.1838
1 Cor,6986,18.0,0.2577
2 Cor,4497,6.0,0.1334
Galatians,2268,8.0,0.3527
Ephesians,2470,6.0,0.2429
Philippians,1628,0.0,0.0
Colossians,1631,4.0,0.2452
1 Thess,1502,1.0,0.0666
2 Thess,839,5.0,0.5959
1 Timothy,1623,7.0,0.4313
2 Timothy,1273,2.0,0.1571
Titus,680,2.0,0.2941
Philemon,349,0.0,0.0
Hebrews,5026,35.0,0.6964
James,1779,12.0,0.6745
1 Peter,1729,8.0,0.4627
2 Peter,1112,6.0,0.5396
1 John,2191,31.0,1.4149
2 John,249,0.0,0.0
3 John,210,0.0,0.0
Jude,468,1.0,0.2137
Revelation,10167,4.0,0.0393
