strongs,person,group,book,chapter,verse,word,case,gender,number
G1473,1st,1st person,Mat,2,8,κἀγὼ,Nominative,,Singular
G1473,1st,1st person,Mat,3,11,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mat,3,14,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mat,5,11,ἐμοῦ.,1,G,Singular
G1473,1st,1st person,Mat,5,22,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mat,5,28,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mat,5,32,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mat,5,34,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mat,5,39,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mat,5,44,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mat,7,23,ἐμοῦ,1,G,Singular
G1473,1st,1st person,Mat,8,7,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mat,8,9,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mat,8,9,ἐμαυτὸν,1,S,A
G1473,1st,1st person,Mat,10,16,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mat,10,18,ἐμοῦ,1,G,Singular
G1473,1st,1st person,Mat,10,32,ἐμοὶ,Dative,,Singular
G1473,1st,1st person,Mat,10,32,κἀγὼ,Nominative,,Singular
G1473,1st,1st person,Mat,10,33,κἀγὼ,Nominative,,Singular
G1473,1st,1st person,Mat,10,37,ἐμὲ,Accusative,,Singular
G1473,1st,1st person,Mat,10,37,ἐμὲ,Accusative,,Singular
G1473,1st,1st person,Mat,10,39,ἐμοῦ,1,G,Singular
G1473,1st,1st person,Mat,10,40,ἐμὲ,Accusative,,Singular
G1473,1st,1st person,Mat,10,40,ἐμὲ,Accusative,,Singular
G1473,1st,1st person,Mat,11,6,ἐμοί.¶,Dative,,Singular
G1473,1st,1st person,Mat,11,10,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mat,11,28,κἀγὼ,Nominative,,Singular
G1473,1st,1st person,Mat,11,29,ἐμοῦ,1,G,Singular
G1473,1st,1st person,Mat,12,27,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mat,12,28,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mat,12,30,ἐμοῦ,1,G,Singular
G1473,1st,1st person,Mat,12,30,ἐμοῦ,1,G,Singular
G1473,1st,1st person,Mat,12,30,ἐμοῦ,1,G,Singular
G1473,1st,1st person,Mat,14,27,ἐγώ,Nominative,,Singular
G1473,1st,1st person,Mat,15,5,ἐμοῦ,1,G,Singular
G1473,1st,1st person,Mat,15,8,ἐμοῦ.,1,G,Singular
G1473,1st,1st person,Mat,16,18,κἀγὼ,Nominative,,Singular
G1473,1st,1st person,Mat,16,23,"ἐμοῦ,",1,G,Singular
G1473,1st,1st person,Mat,16,25,"ἐμοῦ,",1,G,Singular
G1473,1st,1st person,Mat,17,27,ἐμοῦ,1,G,Singular
G1473,1st,1st person,Mat,18,5,ἐμὲ,Accusative,,Singular
G1473,1st,1st person,Mat,18,6,"ἐμέ,",Accusative,,Singular
G1473,1st,1st person,Mat,18,20,ἐμὸν,1,A,Singular
G1473,1st,1st person,Mat,18,21,ἐμὲ,Accusative,,Singular
G1473,1st,1st person,Mat,18,26,"ἐμοί,",Dative,,Singular
G1473,1st,1st person,Mat,18,29,"ἐμοί,",Dative,,Singular
G1473,1st,1st person,Mat,18,33,κἀγὼ,Nominative,,Singular
G1473,1st,1st person,Mat,20,15,ἐμοῖς;,1,D,Singular
G1473,1st,1st person,Mat,20,15,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mat,20,22,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mat,20,22,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mat,20,23,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mat,20,23,ἐμὸν,1,Neuter,Singular
G1473,1st,1st person,Mat,21,24,κἀγὼ,Nominative,,Singular
G1473,1st,1st person,Mat,21,24,κἀγὼ,Nominative,,Singular
G1473,1st,1st person,Mat,21,27,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mat,21,30,"ἐγώ,",Nominative,,Singular
G1473,1st,1st person,Mat,22,32,ἐγώ,Nominative,,Singular
G1473,1st,1st person,Mat,23,34,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mat,24,5,ἐγώ,Nominative,,Singular
G1473,1st,1st person,Mat,25,27,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mat,25,27,ἐμὸν,1,A,Singular
G1473,1st,1st person,Mat,25,40,ἐμοὶ,Dative,,Singular
G1473,1st,1st person,Mat,25,41,ἐμοῦ,1,G,Singular
G1473,1st,1st person,Mat,25,45,ἐμοὶ,Dative,,Singular
G1473,1st,1st person,Mat,26,10,ἐμέ.,Accusative,,Singular
G1473,1st,1st person,Mat,26,11,ἐμὲ,Accusative,,Singular
G1473,1st,1st person,Mat,26,15,κἀγὼ,Nominative,,Singular
G1473,1st,1st person,Mat,26,22,ἐγώ,Nominative,,Singular
G1473,1st,1st person,Mat,26,23,ἐμοῦ,1,G,Singular
G1473,1st,1st person,Mat,26,25,ἐγώ,Nominative,,Singular
G1473,1st,1st person,Mat,26,31,ἐμοὶ,Dative,,Singular
G1473,1st,1st person,Mat,26,33,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mat,26,38,ἐμοῦ.¶,1,G,Singular
G1473,1st,1st person,Mat,26,39,ἐμοῦ,1,G,Singular
G1473,1st,1st person,Mat,26,39,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mat,26,40,ἐμοῦ;,1,G,Singular
G1473,1st,1st person,Mat,26,42,ἐμοῦ,1,G,Singular
G1473,1st,1st person,Mat,28,20,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mrk,1,2,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mrk,1,8,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mrk,5,7,ἐμοὶ,Dative,,Singular
G1473,1st,1st person,Mrk,6,16,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mrk,6,50,ἐγώ,Nominative,,Singular
G1473,1st,1st person,Mrk,7,6,ἐμοῦ.,1,G,Singular
G1473,1st,1st person,Mrk,7,11,ἐμοῦ,1,G,Singular
G1473,1st,1st person,Mrk,8,35,ἐμοῦ,1,G,Singular
G1473,1st,1st person,Mrk,8,38,ἐμοὺς,1,A,Singular
G1473,1st,1st person,Mrk,9,25,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mrk,9,37,ἐμὲ,Accusative,,Singular
G1473,1st,1st person,Mrk,9,37,ἐμὲ,Accusative,,Singular
G1473,1st,1st person,Mrk,9,37,ἐμὲ,Accusative,,Singular
G1473,1st,1st person,Mrk,9,42,"ἐμέ,",Accusative,,Singular
G1473,1st,1st person,Mrk,10,29,ἐμοῦ,1,G,Singular
G1473,1st,1st person,Mrk,10,38,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mrk,10,38,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mrk,10,39,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mrk,10,39,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mrk,10,40,ἐμὸν,1,Neuter,Singular
G1473,1st,1st person,Mrk,11,29,κἀγὼ,Nominative,,Singular
G1473,1st,1st person,Mrk,11,33,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mrk,12,26,ἐγὼ,Nominative,,Singular
G1473,1st,1st person,Mrk,13,6,ἐγώ,Nominative,,Singular
G1473,1st,1st person,Mrk,13,9,ἐμοῦ,1,G,Singular
