lemma,strongs,gloss,clause,book,chapter,verse,word
παράκλησις,G3874,"consolation, exhortation, encouragement",1,Luk,2,25,παράκλησιν
παράκλησις,G3874,"consolation, exhortation, encouragement",1,Luk,6,24,παράκλησιν
παράκλησις,G3874,"consolation, exhortation, encouragement",1,Act,4,36,"παρακλήσεως,"
παράκλησις,G3874,"consolation, exhortation, encouragement",1,Act,9,31,παρακλήσει
παράκλησις,G3874,"consolation, exhortation, encouragement",1,Act,13,15,παρακλήσεως
παράκλησις,G3874,"consolation, exhortation, encouragement",1,Act,15,31,παρακλήσει.
παράκλησις,G3874,"consolation, exhortation, encouragement",1,Rom,12,8,"παρακλήσει,"
παράκλησις,G3874,"consolation, exhortation, encouragement",1,Rom,15,4,παρακλήσεως
παράκλησις,G3874,"consolation, exhortation, encouragement",1,Rom,15,5,παρακλήσεως
παράκλησις,G3874,"consolation, exhortation, encouragement",1,1Co,14,3,παράκλησιν
παράκλησις,G3874,"consolation, exhortation, encouragement",1,2Co,1,3,"παρακλήσεως,"
παράκλησις,G3874,"consolation, exhortation, encouragement",1,2Co,1,4,παρακλήσεως
παράκλησις,G3874,"consolation, exhortation, encouragement",1,2Co,1,5,παράκλησις
παράκλησις,G3874,"consolation, exhortation, encouragement",1,2Co,1,6,παρακλήσεως
παράκλησις,G3874,"consolation, exhortation, encouragement",1,2Co,1,7,παρακλήσεως.¶
παράκλησις,G3874,"consolation, exhortation, encouragement",1,2Co,7,4,"παρακλήσει,"
παράκλησις,G3874,"consolation, exhortation, encouragement",1,2Co,7,7,παρακλήσει
παράκλησις,G3874,"consolation, exhortation, encouragement",1,2Co,7,13,παρακλήσει
παράκλησις,G3874,"consolation, exhortation, encouragement",1,2Co,8,4,παρακλήσεως
παράκλησις,G3874,"consolation, exhortation, encouragement",1,2Co,8,17,παράκλησιν
παράκλησις,G3874,"consolation, exhortation, encouragement",1,Php,2,1,παράκλησις
παράκλησις,G3874,"consolation, exhortation, encouragement",1,1Th,2,3,παράκλησις
παράκλησις,G3874,"consolation, exhortation, encouragement",1,2Th,2,16,παράκλησιν
παράκλησις,G3874,"consolation, exhortation, encouragement",1,1Ti,4,13,"παρακλήσει,"
παράκλησις,G3874,"consolation, exhortation, encouragement",1,Phm,1,7,παράκλησιν
παράκλησις,G3874,"consolation, exhortation, encouragement",1,Heb,6,18,παράκλησιν
παράκλησις,G3874,"consolation, exhortation, encouragement",1,Heb,12,5,παρακλήσεως
παράκλησις,G3874,"consolation, exhortation, encouragement",1,Heb,13,22,παρακλήσεως·
