lemma,case_binding,count,pct,total,total_occurrences
ἐν,Dative,2704,98.6,2743,2743.0
ἐν,(none / unclear),38,1.4,2743,2743.0
ἐν,Genitive,1,0.0,2743,2743.0
εἰς,Accusative,1757,99.5,1766,1766.0
εἰς,(none / unclear),7,0.4,1766,1766.0
εἰς,Genitive,2,0.1,1766,1766.0
ἐκ,Genitive,903,98.9,913,913.0
ἐκ,(none / unclear),9,1.0,913,913.0
ἐκ,Accusative,1,0.1,913,913.0
ἐπί,Accusative,472,53.3,886,886.0
ἐπί,Genitive,220,24.8,886,886.0
ἐπί,Dative,181,20.4,886,886.0
ἐπί,(none / unclear),13,1.5,886,886.0
πρός,Accusative,687,98.1,700,700.0
πρός,Dative,7,1.0,700,700.0
πρός,(none / unclear),5,0.7,700,700.0
πρός,Genitive,1,0.1,700,700.0
διά,Genitive,382,57.3,667,667.0
διά,Accusative,275,41.2,667,667.0
διά,(none / unclear),10,1.5,667,667.0
ἀπό,Genitive,609,94.1,647,647.0
ἀπό,(none / unclear),37,5.7,647,647.0
ἀπό,Nominative,1,0.2,647,647.0
κατά,Accusative,386,81.8,472,472.0
κατά,Genitive,73,15.5,472,472.0
κατά,(none / unclear),11,2.3,472,472.0
κατά,Nominative,2,0.4,472,472.0
μετά,Genitive,362,77.0,470,470.0
μετά,Accusative,81,17.2,470,470.0
μετά,(none / unclear),27,5.7,470,470.0
περί,Genitive,277,83.2,333,333.0
περί,Accusative,37,11.1,333,333.0
περί,(none / unclear),19,5.7,333,333.0
ὑπό,Genitive,168,76.7,219,219.0
ὑπό,Accusative,51,23.3,219,219.0
παρά,Genitive,80,41.7,192,192.0
παρά,Accusative,59,30.7,192,192.0
παρά,Dative,51,26.6,192,192.0
παρά,(none / unclear),2,1.0,192,192.0
ὑπέρ,Genitive,127,84.7,150,150.0
ὑπέρ,Accusative,18,12.0,150,150.0
ὑπέρ,(none / unclear),3,2.0,150,150.0
ὑπέρ,Nominative,2,1.3,150,150.0
σύν,Dative,127,99.2,128,128.0
σύν,(none / unclear),1,0.8,128,128.0
ἕως,Genitive,80,74.1,108,108.0
ἕως,(none / unclear),28,25.9,108,108.0
ἐνώπιον,Genitive,94,100.0,94,94.0
πρό,Genitive,42,89.4,47,47.0
πρό,(none / unclear),5,10.6,47,47.0
ἔμπροσθεν,Genitive,44,100.0,44,44.0
ἄχρι,Genitive,37,86.0,43,43.0
ἄχρι,(none / unclear),6,14.0,43,43.0
χωρίς,Genitive,33,82.5,40,40.0
χωρίς,(none / unclear),6,15.0,40,40.0
χωρίς,Nominative,1,2.5,40,40.0
ὀπίσω,Genitive,26,100.0,26,26.0
ἕνεκα,Genitive,23,88.5,26,26.0
ἕνεκα,(none / unclear),3,11.5,26,26.0
ἀντί,Genitive,22,100.0,22,22.0
ἔξω,Genitive,19,100.0,19,19.0
ἐπάνω,Genitive,14,82.4,17,17.0
ἐπάνω,(none / unclear),3,17.6,17,17.0
μέχρι,Genitive,16,100.0,16,16.0
πέραν,Genitive,13,100.0,13,13.0
ἀνά,Accusative,9,69.2,13,13.0
ἀνά,(none / unclear),3,23.1,13,13.0
ἀνά,Nominative,1,7.7,13,13.0
ἐγγύς,Genitive,9,69.2,13,13.0
ἐγγύς,(none / unclear),4,30.8,13,13.0
ὑποκάτω,Genitive,11,100.0,11,11.0
χάριν,(none / unclear),7,77.8,9,
χάριν,Nominative,1,11.1,9,
χάριν,Genitive,1,11.1,9,
κατέναντι,Genitive,8,100.0,8,
μεταξύ,Genitive,6,85.7,7,
μεταξύ,(none / unclear),1,14.3,7,
ἐναντίον,Genitive,5,100.0,5,
ἀπέναντι,Genitive,4,100.0,4,
πλήν,Genitive,4,100.0,4,
ὡς,Nominative,3,75.0,4,
ὡς,Dative,1,25.0,4,
ἐκτός,Genitive,3,75.0,4,
ἐκτός,Nominative,1,25.0,4,
ἄνευ,Genitive,3,100.0,3,
κατενώπιον,Genitive,3,100.0,3,
ὑπεράνω,Genitive,2,66.7,3,
ὑπεράνω,(none / unclear),1,33.3,3,
παρεκτός,Genitive,2,100.0,2,
ἅμα,Dative,1,50.0,2,
ἅμα,(none / unclear),1,50.0,2,
ὄπισθεν,Genitive,2,100.0,2,
ἔξωθεν,Genitive,2,100.0,2,
ἔναντι,Genitive,2,100.0,2,
ἄτερ,Genitive,2,100.0,2,
κυκλόθεν,Genitive,2,100.0,2,
ὀψέ,(none / unclear),1,100.0,1,
ἔσω,Genitive,1,100.0,1,
