,verses,Present,Imperfect,Aorist,Future,Perfect,Pluperfect
Matthew,1071,135.0140056022409,13.445378151260504,185.34080298786182,33.33333333333333,10.737628384687207,0.7469654528478058
Mark,678,148.67256637168143,43.95280235988201,173.89380530973452,18.87905604719764,13.864306784660767,1.1799410029498525
Luke,1151,133.18853171155519,32.059079061685495,183.6663770634231,27.45438748913988,15.030408340573414,1.3900955690703736
John,878,175.85421412300684,33.48519362186788,152.61958997722095,19.47608200455581,30.52391799544419,3.8724373576309796
Acts,1007,124.82621648460774,42.10526315789473,203.17775571002977,11.022840119165839,16.583912611717974,1.6881827209533267
Romans,430,143.95348837209303,3.488372093023256,84.41860465116278,23.25581395348837,18.372093023255815,0.23255813953488372
1 Corinthians,437,185.35469107551486,4.576659038901601,72.5400457665904,18.993135011441648,21.51029748283753,0.0
2 Corinthians,255,160.7843137254902,3.5294117647058822,96.86274509803921,16.470588235294116,23.52941176470588,0.0
Galatians,149,138.9261744966443,14.76510067114094,93.28859060402685,13.422818791946309,19.463087248322147,0.0
Ephesians,155,112.25806451612902,2.5806451612903225,80.0,5.161290322580645,11.612903225806452,0.0
Philippians,102,144.11764705882354,4.901960784313726,69.6078431372549,15.686274509803921,16.666666666666664,0.0
Colossians,95,133.68421052631578,3.1578947368421053,85.26315789473684,6.315789473684211,20.0,0.0
1 Thessalonians,89,148.31460674157304,3.3707865168539324,89.8876404494382,6.741573033707865,20.224719101123593,0.0
2 Thessalonians,47,138.29787234042556,6.382978723404255,87.2340425531915,14.893617021276595,12.76595744680851,0.0
1 Timothy,113,182.3008849557522,0.0,60.17699115044248,7.079646017699115,16.8141592920354,0.0
2 Timothy,83,107.2289156626506,0.0,108.43373493975903,28.915662650602407,31.32530120481928,0.0
Titus,46,169.56521739130434,2.1739130434782608,63.04347826086957,0.0,17.391304347826086,0.0
Philemon,25,96.0,4.0,60.0,12.0,12.0,0.0
Hebrews,303,140.59405940594058,8.91089108910891,110.56105610561056,17.491749174917494,28.38283828382838,0.0
James,108,185.1851851851852,2.7777777777777777,103.7037037037037,25.0,17.59259259259259,0.0
1 Peter,105,138.0952380952381,7.6190476190476195,101.9047619047619,11.428571428571429,15.238095238095239,0.0
2 Peter,61,157.37704918032787,4.918032786885246,96.72131147540983,24.59016393442623,31.147540983606557,0.0
1 John,105,278.0952380952381,6.666666666666667,62.857142857142854,7.6190476190476195,61.904761904761905,0.9523809523809524
2 John,13,246.15384615384616,7.6923076923076925,76.92307692307693,15.384615384615385,23.076923076923077,0.0
3 John,14,242.85714285714283,7.142857142857142,64.28571428571429,21.428571428571427,21.428571428571427,0.0
Jude,25,164.0,8.0,128.0,4.0,36.0,0.0
Revelation,404,156.68316831683168,10.891089108910892,169.05940594059405,29.7029702970297,31.93069306930693,0.24752475247524752
