root_strongs,count,gloss,lemma
H7919A,13,[who] acts prudently,שָׂכַל
H3254H,11,adds,יָסַף
H0995,11,understanding,הֵבִין
H3198,10,[one who] reproves,הֹכִיחַ
H5186,7,incline,נָטָה
H0954,6,[who] acts shamefully,הֹבִישׁ
H7181,6,be attentive,הִקְשִׁיב
H5337,6,delivers,הִצִּיל
H6238,5,gain riches,הַעֲשִׁיר
H3190,5,makes good,הֵיטִיב
H7725M,5,[one who] bring back,הָשִׁיב
H7235A,5,[one who] increases,הִרְבָּה
H2505B,4,makes smooth,חָלַק
H7489A,4,evil-doer,רַע
H2388H,4,[one who] takes hold,הֶֽחֱזִיק
H6329,4,he obtained,תָּפֵק
H7725G,3,[one who] returns,שָׁב
H3318M,3,brings forth,יָצָא
H5042,3,pours forth,אַבִּיעָה
H7725I,3,he will turn back,שָׁב
H7368,3,far away,רָחַק
H3887,3,mocks,מֵלִיץ
H3559A,3,they prepared,הֵכִין
H6504,3,[is] separating,הִפְרִיד
H5221,3,more than/ striking,הִכָּה
H7843,3,[one who] destroys,הִשְׁחִית
H0748,3,will prolong,הֶאֱרִיךְ
H5234A,2,pay regard to,הִכִּיר
H5157,2,leaves an inheritance to,הַנְחִיל
H3867B,2,[is] lending to,תַּלְוֶה
H7311A,2,[is] exalting,הֵרִים
H5046,2,declares,הִגִּיד
H7185,2,[one who] hardens,הִקְשָׁה
H5493H,2,[one who] turns aside,סָר
H6974,2,you will awake,הֵקִיץ
H5810,2,makes strong,הֵעֵז
H5253,2,displace,תַסִּיג
H5307H,2,has made fall,יַפִּיל
H2790B,2,[who] keeps silent,הֶחֱרִשׁ
H7725K,2,will repay,הֵשִׁיב
H2300B,2,sharpens,יָחַד
H2659,2,[who] causes shame,הֶחְפִּיר
H7561,2,[one who] condemns as guilty,הִרְשִׁיעַ
H3045,2,me declare,יָדַע
H3254G,2,adds,יָסַף
H3276,2,profits,הוֹעִיל
H3318O,2,[one who] spreads,יָצָא
H3637,2,shames,הַכְלִים
H0539,2,believes,הֶאֱמִין
H8252,1,makes quiet,הַשְׁקִט
H6663,1,[one who] justifies,הַצְדִּיק
H6567B,1,will sting,יַפְרִֽשׁ
H6565A,1,go wrong,הֵפֵר
H8446,1,makes a search,תָּרוּ
H6743B,1,will prosper,הִצְלִיחַ
H6524A,1,will flourish,פָּרַח
H6965I,1,he set up,הֵקִים
H7503,1,let go,רָפָה
H7999B,1,causes to be at peace,תַשְׁלִים
H7925,1,rising early,נַשְׁכִּימָה
H7280A,1,will grant rest,רָגַע
H7301,1,[one who] gives water,הִרְוָה
H7725H,1,will restore,שָׁב
H7686,1,[one who] leads astray,יִשְׁגּוּ
H7673A,1,puts an end to,שָׁבַת
H7337,1,makes space,רָחַב
H7456,1,allows to hunger,רָעֵב
H7666,1,[one who] sells grain,נַשְׁבִּירָה
H0215,1,[is] giving light to,אוֹר
H6275,1,copied,יֶעְתַּק
H3365,1,make rare,יָקְרָה
H3782,1,bring injury,כָּשַׁל
H3559H,1,directs,הֵכִין
H3474,1,them look straight,יָשַׁר
H3467,1,may he deliver,הוֹשִׁיעַ
H3384B,1,[he is] pointing,הוֹרֹת
H3381,1,he brought down,יָרַד
H3034,1,[one who] confesses,הֹדוֹת
H3847,1,will clothe [them],לָבַשׁ
H2470H,1,[is] making sick,חָלָה
H2204,1,will be old,זָקֵן
H1361,1,[one who] makes high,גָּבַהּ
H1272,1,drives away,בָּרַח
H0935P,1,brings,הֵבִיא
H0887,1,acts odiously,הִבְאִישׁ
H3803,1,surround,כִּתְּרוּ
H3868,1,them depart,יָלֻזוּ
H6030B,1,[will be one who] answers,עָנָה
H5493G,1,remove,סָר
H5975I,1,establishes,הַעֲמִיד
H5956,1,[one who] hides,הֶעְלִים
H5927H,1,raises,הֶעֱלָה
H5774A,1,¿/ do you cause to fly,יְעוֹפֵף
H5710A,1,[one who] removes,עָדָה
H5641,1,conceal,הִסְתִּיר
H5381,1,reach,הִשִּׂיגוּ
H3960,1,slander,מְלָשְׁנִי
H5324,1,he will establish,הִצִּיב
H0238,1,[is] giving ear,הֶאֱזִין
H5307G,1,makes fall,נָפַל
H5148,1,will guide,נָחִיתָ
H5027,1,them look,הִבִּיט
H4229A,1,wiping out,מָחָה
H8582,1,[is] leading astray,תָּעָה
