root_strongs,count,gloss,lemma
H3034,38,give thanks,הֹדוֹת
H5046,20,will declare,הִגִּיד
H3467,16,will save,הוֹשִׁיעַ
H5027,15,attention,הִבִּיט
H5186,15,incline,נָטָה
H7489A,14,evil-doers,רַע
H5641,13,hide,הִסְתִּיר
H0215,13,make shine,אוֹר
H5221,12,he struck down,הִכָּה
H5337,11,[is] a deliverer,הִצִּיל
H7311A,11,lifts up,הֵרִים
H7919A,10,[one who] acts prudently,שָׂכַל
H7321,9,shout for joy,נָרִיעָה
H3318H,8,[he is] bringing out,הוֹצִיא
H3045,8,make known,יָדַע
H1431,8,has made great,גָדַל
H3559H,8,establish,הֵכִין
H7725G,7,will bring back,שָׁב
H0539,7,believed,הֶאֱמִין
H4784,6,they rebelled,מָרָה
H7337,6,they have opened wide,רָחַב
H7993,6,throw,הִשְׁלִיךְ
H7725K,6,repay,הֵשִׁיב
H2142,6,will bring to remembrance,זָכַר
H6692A,5,may people blossom,צָץ
H3772I,5,cut off,כָּרַת
H3254G,5,will repeat,יָסַף
H3559A,5,has prepared,הֵכִין
H5042,5,will pour forth,אַבִּיעָה
H5493G,4,remove,סָר
H3176H,4,wait,אֲיַחֵל
H3190,4,[are] doing good,הֵיטִיב
H7843,4,act corruptly,הִשְׁחִית
H3427,4,[he is] causes to dwell,יָשַׁב
H7235A,4,great,הִרְבָּה
H8213,4,[is] bringing low,שָׁפֵל
H6974,4,awoke,הֵקִיץ
H0516,4,tashcheth,אַל
H6789,4,will destroy,נִצְמָתוּ
H0935P,4,he brought,הֵבִיא
H6965I,4,he established,הֵקִים
H7368,4,have removed far away,רָחַק
H5782,4,will waken,הֵעִיר
H7646,4,will satisfy,שָׂבַע
H7673A,4,[he is] making cease,שָׁבַת
H7725I,4,will turn,שָׁב
H4305,3,he rained down,הִמְטִיר
H5265,3,he led out,נָסַע
H7503,3,quiet,רָפָה
H7725H,3,will return,שָׁב
H7442B,3,shout for joy,הַרְנִינוּ
H5060,3,they reached,נָגַע
H5307G,3,he made [them] fall,נָפַל
H4171,3,they exchanged,הֵמִיר
H0238,3,he will give ear,הֶאֱזִין
H3254H,3,i will add,יָסַף
H6779,3,will make grow,צָֽמַח
H8259,3,looks down,הִשְׁקִיף
H0954,3,have put [them] to shame,הֹבִישׁ
H0995,3,[is] understanding,הֵבִין
H5462,3,he delivered up,סָגַר
H8085I,3,make heard,הִשְׁמִיעַ
H5362B,2,have surrounded,הִקִּֽיף
H6329,2,providing,תָּפֵק
H6565A,2,break,הֵפֵר
H6485J,2,entrust,פָקַד
H6395,2,has set apart,הִפְלָה
H6331,2,will break off,הֵפִיר
H5975G,2,made stand,עָמַד
H5927I,2,will offer up,הֶעֱלָה
H5927H,2,will lift up,הֶעֱלָה
H5844A,2,covers [it],יַעְטֶה
H7181,2,has paid attention,הִקְשִׁיב
H5749B,2,i will warn,הֵעִיד
H5674C,2,take away,הֶעֱבִיר
H5324,2,he made to stand up,הִצִּיב
H5526B,2,you may cover,הָסֵךְ
H5106,2,frustrates,הֵנִיא
H5117,2,they leave,נָחָֽה
H8581,2,they act abominably,תְתַעֵב
H7481,2,he thundered,הִרְעִים
H3381,2,he made to flow down,יָרַד
H0553,2,may it show strength,יֶֽאֱמָץ
H8248G,2,[he is] watering,הַשְׁקוֹת
H1696H,2,he has subdued,יַדְבֵּר
H2342A,2,causes to tremble,חִילוּ
H8045,2,will destroy,הִשְׁמִיד
H2790B,2,kept silent,הֶחֱרִשׁ
H2821,2,he made dark,חָשַׁךְ
H2986,2,them bring,אוּבָֽל
H3198,2,he rebuked,הֹכִיחַ
H3313,2,has shone forth,הוֹפִיעַ
H7931,2,he caused to dwell,שָׁכֵן
H6743B,2,[one who] makes prosperous,הִצְלִיחַ
H3665,2,will subdue,הִכְנִיעַ
H4529,2,melt,הִמְסִיו
H3766,2,made bow down,כָּרַע
H3847,2,will clothe,לָבַשׁ
H3867B,2,[he is] lending,תַּלְוֶה
H7561,2,condemn as guilty,הִרְשִׁיעַ
H7725O,1,turn back,שָׁב
H6965H,1,[he is] raising,קָם
H7107,1,they provoked to anger,קָצַף
H8159,1,smear,שָׁעָה
H7623A,1,[who] calms,מַשְׁבִּיחַ
H8252,1,give quiet,הַשְׁקִט
H8248H,1,he gave [them] to drink,הַשְׁקוֹת
H8085G,1,make heard,שָׁמַע
H8327,1,it took root,מַשְׁרִישׁ
H7392,1,have made ride,רָכַב
H6775,1,harnesses,מְצֻמֶּדֶת
H8428,1,pained,הִתְווּ
H7114A,1,have made short,קָצַר
H8055,1,have made to rejoice,שָׂמַח
H7126H,1,will bring near,הִקְרִיב
H8074G,1,have devastated,הֲשִׁמּוֹתָ
H7811,1,make swim,אַשְׂחֶה
H7160,1,having horns,קָרַן
H7685B,1,increase,יִשְׂגֶּה
H7688,1,looks,הִשְׁגִּיחַ
H7324,1,draw out,הָרִיק
H7980,1,have power,שָׁלַט
H7493,1,have made quake,רָעָשָׁה
H7949,1,it snow,תַּשְׁלֵג
H7200G,1,have made see,רָאָה
H7323G,1,will cause to run,רָץ
H7925,1,[who] rise early,נַשְׁכִּימָה
H7300,1,am restless,תָּרִיד
H7185,1,harden,הִקְשָׁה
H0006,1,you will destroy,אָבַד
H6670B,1,make shine,הַצְהִיל
H3001,1,dried up,יָבֵשׁ
H4131,1,drop,תָּמוּט
H3932,1,mock,לָעֲגָה
H3835A,1,will become white,לְבֵּן
H3803,1,will surround,כִּתְּרוּ
H3707,1,they provoked to anger,הִכְעִיס
H3559I,1,[who] established,כּוֹנָֽנְתָּה
H3498,1,leave over,הוֹתִיר
H3474,1,make straight,יָשַׁר
H3423H,1,dispossessed,יָרַשׁ
H3384B,1,teaches,הוֹרֹת
H3331,1,i will spread as a bed,אַצִּיעָה
H3318L,1,he brought out,יָצָא
H3176G,1,have waited,אֹחִילָה
H2814,1,was silent,מַחְשִׁים
H6663,1,vindicate,הַצְדִּיק
H2505B,1,flatters,חָלַק
H2449,1,making wise,חָכַם
H2388H,1,take hold of,הֶֽחֱזִיק
H2363A,1,want to make haste,אָחִישָׁה
H1980J,1,[one who] led,הוֹלִיךְ
H1949,1,i am distraught,אָהִֽימָה
H1869,1,leads,דָּרַךְ
H1396,1,will make strong,גָבַר
H1361,1,is making high,גָּבַהּ
H1082,1,let me be cheerful,אַבְלִיגָה
H0887,1,stink,הִבְאִישׁ
H0748,1,have made long,הֶאֱרִיךְ
H0503,1,[will be] producing thousands,מַאֲלִיפוֹת
H4167,1,mock,יָמִיקוּ
H4191,1,he caused to die,מֵת
H4571,1,make to shake,מָעֲדוּ
H4591,1,made few,יִמְעַט
H6536,1,having hooves,מַפְרֶסֶת
H6524A,1,will flourish,פָּרַח
H6509,1,he made fruitful,פְּרוּ
H6381,1,has made wonderful,הִפְלִיא
H6362,1,make a separation,פָטַר
H6238,1,will become rich,הַעֲשִׁיר
H6191,1,make crafty,עָרוֹם
H5975I,1,he appointed,הַעֲמִיד
H5956,1,you hide?,הֶעְלִים
H5927G,1,[he is] bringing up,עָלָה
H5753B,1,have done wrong,הֶעֱוָה
H5674A,1,he made pass,עָבַר
H5532,1,know intimately,הִסְכַּנְתִּי
H5493I,1,has turned aside,סָר
H5425B,1,[is] setting free,יַתֵּר
H5380,1,makes blow,יַשֵּׁב
H5377,1,will deceive,הִשִּׁיא
H5307J,1,make fall,נָפַל
H5307I,1,cast,הִפִּיל
H5258A,1,will pour out,נָסַךְ
H5234A,1,[one who] recognizes,הִכִּיר
H5130A,1,spread abroad,תָּנִיף
H5128,1,shake,אָנִיעָה
H5080,1,thrust [him] down,הַדִּיחַ
H5064,1,he has poured out,נִגָּרוֹת
H5050,1,lightens,נָגַֽהּ
H4985,1,made sweet,תַּמְתִּיק
H5381,1,may he overtake [it],הִשִּׂיגוּ
