ref,testament,book,chapter,verse,form,lemma,strong_id,pos,morph,gloss,lxx_word,category,kjv
Gen 15:17,OT,Gen,15,17,לַפִּ֣יד,לַפִּיד,H3940,noun,Ncmsc,a.torch,λαμπάδες,Divine Presence / Theophany,"And it came to pass, that, when the sun went down, and it was dark, behold a smoking furnace, and a burning lamp that passed between those pieces."
Gen 15:17,OT,Gen,15,17,אֵ֔שׁ,אֵשׁ,H784,noun,Ncbsa,of.fire,πυρός,Divine Presence / Theophany,"And it came to pass, that, when the sun went down, and it was dark, behold a smoking furnace, and a burning lamp that passed between those pieces."
Gen 19:24,OT,Gen,19,24,אֵ֑שׁ,אֵשׁ,H784,noun,Ncbsa,fire,πῦρ,Divine Judgment / Wrath,Then the Lord rained upon Sodom and upon Gomorrah brimstone and fire from the Lord out of heaven;
Gen 22:6,OT,Gen,22,6,אֵ֖שׁ,אֵשׁ,H784,noun,Ncbsa,fire,ξεῖρα,Ambiguous,"And Abraham took the wood of the burnt offering, and laid it upon Isaac his son; and he took the fire in his hand, and a knife; and they went both of them together."
Gen 22:7,OT,Gen,22,7,אֵשׁ֙,אֵשׁ,H784,noun,Ncbsa,fire,πῦρ,Ambiguous,"And Isaac spake unto Abraham his father, and said, My father: and he said, Here am I, my son. And he said, Behold the fire and the wood: but where is the lamb for a burnt offering?"
Exo 3:2,OT,Exo,3,2,אֵ֖שׁ,אֵשׁ,H784,noun,Ncbsa,of.fire,πυρὸς,Divine Presence / Theophany,"And the angel of the Lord appeared unto him in a flame of fire out of the midst of a bush: and he looked, and, behold, the bush burned with fire, and the bush was not consumed."
Exo 3:2,OT,Exo,3,2,אֵ֔שׁ,אֵשׁ,H784,noun,Ncbsa,fire,πυρί,Divine Presence / Theophany,"And the angel of the Lord appeared unto him in a flame of fire out of the midst of a bush: and he looked, and, behold, the bush burned with fire, and the bush was not consumed."
Exo 9:23,OT,Exo,9,23,אֵ֖שׁ,אֵשׁ,H784,noun,Ncbsa,fire,πῦρ,Mundane,"And Moses stretched forth his rod toward heaven: and the Lord sent thunder and hail, and the fire ran along upon the ground; and the Lord rained hail upon the land of Egypt."
Exo 9:24,OT,Exo,9,24,אֵ֕שׁ,אֵשׁ,H784,noun,Ncbsa,fire,πῦρ,Mundane,"So there was hail, and fire mingled with the hail, very grievous, such as there was none like it in all the land of Egypt since it became a nation."
Exo 12:8,OT,Exo,12,8,אֵ֣שׁ,אֵשׁ,H784,noun,Ncbsa,of.fire,πυρὶ,Mundane,"And they shall eat the flesh in that night, roast with fire, and unleavened bread; and with bitter herbs they shall eat it."
Exo 12:9,OT,Exo,12,9,אֵ֔שׁ,אֵשׁ,H784,noun,Ncbsa,of.fire,πυρί,Mundane,"Eat not of it raw, nor sodden at all with water, but roast with fire; his head with his legs, and with the purtenance thereof."
Exo 12:10,OT,Exo,12,10,אֵ֥שׁ,אֵשׁ,H784,noun,Ncbsa,fire,πυρὶ,Mundane,And ye shall let nothing of it remain until the morning; and that which remaineth of it until the morning ye shall burn with fire.
Exo 13:21,OT,Exo,13,21,אֵ֖שׁ,אֵשׁ,H784,noun,Ncbsa,of.fire,πυρός,Divine Presence / Theophany,"And the Lord went before them by day in a pillar of a cloud, to lead them the way; and by night in a pillar of fire, to give them light; to go by day and night:"
Exo 13:22,OT,Exo,13,22,אֵ֖שׁ,אֵשׁ,H784,noun,Ncbsa,fire,πυρὸς,Divine Presence / Theophany,"He took not away the pillar of the cloud by day, nor the pillar of fire by night, from before the people."
Exo 14:24,OT,Exo,14,24,אֵ֖שׁ,אֵשׁ,H784,noun,Ncbsa,of.fire,πυρὸς,Divine Presence / Theophany,"And it came to pass, that in the morning watch the Lord looked unto the host of the Egyptians through the pillar of fire and of the cloud, and troubled the host of the Egyptians,"
Exo 19:18,OT,Exo,19,18,אֵ֑שׁ,אֵשׁ,H784,noun,Ncbsa,fire,πυρί,Divine Presence / Theophany,"And mount Sinai was altogether on a smoke, because the Lord descended upon it in fire: and the smoke thereof ascended as the smoke of a furnace, and the whole mount quaked greatly."
Exo 20:18,OT,Exo,20,18,לַּפִּידִ֗ם,לַפִּיד,H3940,noun,Ncmpa,lightning(s),λαμπάδας,Mundane,"And all the people saw the thunderings, and the lightnings, and the noise of the trumpet, and the mountain smoking: and when the people saw it, they removed, and stood afar off."
Exo 22:5,OT,Exo,22,5,אֵ֜שׁ,אֵשׁ,H784,noun,Ncbsa,a.fire,πῦρ,Mundane,"If a man shall cause a field or vineyard to be eaten, and shall put in his beast, and shall feed in another man’s field; of the best of his own field, and of the best of his own vineyard, shall he make restitution."
Exo 24:17,OT,Exo,24,17,אֵ֥שׁ,אֵשׁ,H784,noun,Ncbsa,a.fire,πῦρ,Divine Presence / Theophany,And the sight of the glory of the Lord was like devouring fire on the top of the mount in the eyes of the children of Israel.
