prep,prep_strongs,case,onoma_word,book,chapter,verse,referent
ἐν,G1722,Dative,ὀνόματι,Mat,12,21,Other person / believer
ἐν,G1722,Dative,ὀνόματι,Mat,21,9,Other
ἐν,G1722,Dative,ὀνόματι,Mat,23,39,Jesus / Christ / Lord
ἐν,G1722,Dative,ὀνόματί,Mrk,9,38,Other
ἐν,G1722,Dative,ὀνόματι,Mrk,9,41,Jesus / Christ / Lord
ἐν,G1722,Dative,ὀνόματι,Mrk,11,9,Other
ἐν,G1722,Dative,ὀνόματι,Mrk,11,10,God / Father
ἐν,G1722,Dative,ὀνόματί,Mrk,16,17,Other person / believer
ἐν,G1722,Nominative,ὄνομα,Luk,2,25,Other
ἐν,G1722,Dative,ὀνόματί,Luk,9,49,Other
ἐν,G1722,Dative,ὀνόματί,Luk,10,17,Jesus / Christ / Lord
ἐν,G1722,Dative,ὀνόματι,Luk,13,35,Other
ἐν,G1722,Dative,ὀνόματι,Luk,19,38,Jesus / Christ / Lord
ἐν,G1722,Dative,ὀνόματι,Jhn,5,43,God / Father
ἐν,G1722,Dative,ὀνόματι,Jhn,10,25,God / Father
ἐν,G1722,Dative,ὀνόματι,Jhn,12,13,Other
ἐν,G1722,Dative,ὀνόματί,Jhn,14,13,God / Father
ἐν,G1722,Dative,ὀνόματί,Jhn,14,14,Other person / believer
ἐν,G1722,Dative,ὀνόματί,Jhn,14,26,God / Father
ἐν,G1722,Dative,ὀνόματί,Jhn,15,16,Other
ἐν,G1722,Dative,ὀνόματί,Jhn,16,23,God / Father
ἐν,G1722,Dative,ὀνόματί,Jhn,16,24,Other person / believer
ἐν,G1722,Dative,ὀνόματί,Jhn,16,26,God / Father
ἐν,G1722,Dative,ὀνόματί,Jhn,17,11,God / Father
ἐν,G1722,Dative,ὀνόματί,Jhn,17,12,Other
ἐν,G1722,Dative,ὀνόματι,Jhn,20,31,Jesus / Christ / Lord
ἐν,G1722,Dative,ὀνόματι,Act,3,6,Jesus / Christ / Lord
ἐν,G1722,Dative,ὀνόματι,Act,4,7,Other
ἐν,G1722,Dative,ὀνόματι,Act,4,10,Jesus / Christ / Lord
ἐν,G1722,Dative,ὀνόματι,Act,5,34,Other
ἐν,G1722,Dative,ὀνόματι,Act,9,10,Jesus / Christ / Lord
ἐν,G1722,Dative,ὀνόματι,Act,9,11,Jesus / Christ / Lord
ἐν,G1722,Dative,ὀνόματι,Act,9,12,Other
ἐν,G1722,Dative,ὀνόματι,Act,9,27,Jesus / Christ / Lord
ἐν,G1722,Dative,ὀνόματι,Act,10,1,Other
