Verse,Strong,Lemma,Gloss,Type,Person,Torah Objects
1,H1980,הָלַךְ,walk,participle active,,
2,H5341,נָצַר,[are.those.who].observe,participle active,,Edut
2,H1875,דָּרַשׁ,they,yiqtol,third,
3,H6466,פָּעַל,they.do,qatal,third,
3,H1980,הָלַךְ,they.walk,qatal,third,
4,H6680,צָוָה,you.have.commanded,qatal,second,Piqqudim
4,H8104,שָׁמַר,keep,infinitive construct,,
5,H3559,כּוּן,they.will.be.steadfast,yiqtol,third,
5,H8104,שָׁמַר,keep,infinitive construct,,Choq
6,H954,בּוֹשׁ,I.will.be.ashamed,yiqtol,first,
6,H5027,נָבַט,look,infinitive construct,,
7,H3034,יָדָה,I,yiqtol,first,
7,H3925,לָמַד,learn,infinitive construct,,Mishpat
8,H8104,שָׁמַר,I.will.keep,yiqtol,first,Choq
9,H2135,זָכָה,will.he.keep.pure,yiqtol,third,
9,H8104,שָׁמַר,keeping.[it],infinitive construct,,
10,H1875,דָּרַשׁ,I,qatal,first,
11,H6845,צָפַן,I.have.hidden,qatal,first,Imrah
11,H2398,חָטָא,I.may.sin,yiqtol,first,
12,H1288,בָּרַךְ,[be].blessed,participle passive,,
13,H5608,סָפַר,I.recount,qatal,first,Mishpat
14,H7797,שׂוּשׂ,I.exult,qatal,first,
15,H7878,שִׂיחַ,I.will.meditate,cohortative,first,
15,H5027,נָבַט,I.will.pay.attention.to,cohortative,first,
16,H8173a,שָׁעַע,I.will.delight.myself,yiqtol,first,
16,H7911,שָׁכַח,I.will.forget,yiqtol,first,Davar
17,H2421,חָיָה,I.will.live,cohortative,first,
17,H8104,שָׁמַר,I.will.keep,cohortative,first,Davar
18,H5027,נָבַט,that.I.may.pay.attention.to,cohortative,first,
18,H6381,פָּלָא,wonderful.[things],participle active,,
20,H1638,גָּרַס,it.is.crushed,qatal,third,
21,H1605,גָּעַר,you.rebuke,qatal,second,
21,H779,אָרַר,cursed.[people],participle passive,,
21,H7686,שָׁגָה,astray,participle active,,
