Verse,Type,Hebrew,Translation,Stem,Category,KJV
8,Jussive,תַּעַזְבֵ֥/נִי,you forsake me,,Protect & Order,I will keep thy statutes: O forsake me not utterly.
12,Imperative,לַמְּדֵ֥/נִי,teach me,,Teach & Illuminate,"Blessed art thou, O Lord: teach me thy statutes."
17,Imperative,גְּמֹ֖ל,deal bountifully,Qal,Protect & Order,"Deal bountifully with thy servant, that I may live, and keep thy word."
18,Imperative,גַּל\־,uncover,Piel,Other,"Open thou mine eyes, that I may behold wondrous things out of thy law."
19,Jussive,תַּסְתֵּ֥ר,you hide,Hiphil,Protect & Order,I am a stranger in the earth: hide not thy commandments from me.
22,Imperative,גַּ֣ל,roll away,Piel,Other,Remove from me reproach and contempt; for I have kept thy testimonies.
25,Imperative,חַ֝יֵּ֗/נִי,preserve alive me,,Revive & Strengthen,My soul cleaveth unto the dust: quicken thou me according to thy word.
26,Imperative,לַמְּדֵ֥/נִי,teach me,,Teach & Illuminate,"I have declared my ways, and thou heardest me: teach me thy statutes."
27,Imperative,הֲבִינֵ֑/נִי,give understanding of me,,Teach & Illuminate,Make me to understand the way of thy precepts: so shall I talk of thy wondrous works.
28,Imperative,קַ֝יְּמֵ֗/נִי,strengthen me,,Revive & Strengthen,My soul melteth for heaviness: strengthen thou me according unto thy word.
29,Imperative,הָסֵ֣ר,remove,Hiphil,Protect & Order,Remove from me the way of lying: and grant me thy law graciously.
29,Imperative,חָנֵּֽ/נִי\׃,show favor to me,,Teach & Illuminate,Remove from me the way of lying: and grant me thy law graciously.
33,Imperative,הוֹרֵ֣/נִי,teach me,,Teach & Illuminate,"Teach me, O Lord, the way of thy statutes; and I shall keep it unto the end."
34,Imperative,הֲ֭בִינֵ/נִי,give understanding me,,Teach & Illuminate,"Give me understanding, and I shall keep thy law; yea, I shall observe it with my whole heart."
35,Imperative,הַ֭דְרִיכֵ/נִי,lead me,,Teach & Illuminate,Make me to go in the path of thy commandments; for therein do I delight.
36,Imperative,הַט\־,incline,Hiphil,Protect & Order,"Incline my heart unto thy testimonies, and not to covetousness."
37,Imperative,הַעֲבֵ֣ר,take away,Hiphil,Protect & Order,Turn away mine eyes from beholding vanity; and quicken thou me in thy way.
37,Imperative,חַיֵּֽ/נִי\׃,preserve alive me,,Revive & Strengthen,Turn away mine eyes from beholding vanity; and quicken thou me in thy way.
38,Imperative,הָקֵ֣ם,fulfill,Hiphil,Protect & Order,"Stablish thy word unto thy servant, who is devoted to thy fear."
39,Imperative,הַעֲבֵ֣ר,take away,Hiphil,Protect & Order,Turn away my reproach which I fear: for thy judgments are good.
40,Imperative,חַיֵּֽ/נִי\׃,preserve alive me,,Revive & Strengthen,"Behold, I have longed after thy precepts: quicken me in thy righteousness."
43,Jussive,תַּצֵּ֬ל,you take away,Hiphil,Protect & Order,And take not the word of truth utterly out of my mouth; for I have hoped in thy judgments.
49,Imperative,זְכֹר\־,remember,Qal,Grace & Attention,"Remember the word unto thy servant, upon which thou hast caused me to hope."
58,Imperative,חָ֝נֵּ֗/נִי,show favor to me,,Teach & Illuminate,I intreated thy favour with my whole heart: be merciful unto me according to thy word.
64,Imperative,לַמְּדֵֽ/נִי\׃,teach me,,Teach & Illuminate,"The earth, O Lord, is full of thy mercy: teach me thy statutes."
66,Imperative,לַמְּדֵ֑/נִי,teach me,,Teach & Illuminate,Teach me good judgment and knowledge: for I have believed thy commandments.
68,Imperative,לַמְּדֵ֥/נִי,teach me,,Teach & Illuminate,"Thou art good, and doest good; teach me thy statutes."
71,Jussive,אֶלְמַ֥ד,I may learn,Qal,Other,It is good for me that I have been afflicted; that I might learn thy statutes.
73,Imperative,הֲ֝בִינֵ֗/נִי,give understanding me,,Teach & Illuminate,"Thy hands have made me and fashioned me: give me understanding, that I may learn thy commandments."
76,Jussive,יְהִי\־,let it be,Qal,Other,"Let, I pray thee, thy merciful kindness be for my comfort, according to thy word unto thy servant."
80,Jussive,יְהִֽי\־,may it be,Qal,Other,Let my heart be sound in thy statutes; that I be not ashamed.
86,Imperative,עָזְרֵֽ/נִי\׃,help me,,Save & Deliver,All thy commandments are faithful: they persecute me wrongfully; help thou me.
88,Imperative,חַיֵּ֑/נִי,preserve alive me,,Revive & Strengthen,Quicken me after thy lovingkindness; so shall I keep the testimony of thy mouth.
94,Imperative,הוֹשִׁיעֵ֑/נִי,save me,,Save & Deliver,"I am thine, save me; for I have sought thy precepts."
101,Jussive,אֶשְׁמֹ֥ר,I may keep,Qal,Other,"I have refrained my feet from every evil way, that I might keep thy word."
107,Imperative,חַיֵּ֥/נִי,preserve alive me,,Revive & Strengthen,"I am afflicted very much: quicken me, O Lord, according unto thy word."
108,Imperative,רְצֵה\־,accept,Qal,Grace & Attention,"Accept, I beseech thee, the freewill offerings of my mouth, O Lord, and teach me thy judgments."
108,Imperative,לַמְּדֵֽ/נִי\׃,teach me,,Teach & Illuminate,"Accept, I beseech thee, the freewill offerings of my mouth, O Lord, and teach me thy judgments."
116,Imperative,סָמְכֵ֣/נִי,sustain me,,Revive & Strengthen,"Uphold me according unto thy word, that I may live: and let me not be ashamed of my hope."
117,Imperative,סְעָדֵ֥/נִי,uphold me,,Revive & Strengthen,"Hold thou me up, and I shall be safe: and I will have respect unto thy statutes continually."
122,Imperative,עֲרֹ֣ב,stand surety for,Qal,Protect & Order,Be surety for thy servant for good: let not the proud oppress me.
122,Jussive,יַעַשְׁקֻ֥/נִי,they oppress me,,Other,Be surety for thy servant for good: let not the proud oppress me.
124,Imperative,עֲשֵׂ֖ה,do,Qal,Protect & Order,"Deal with thy servant according unto thy mercy, and teach me thy statutes."
124,Imperative,לַמְּדֵֽ/נִי\׃,teach me,,Teach & Illuminate,"Deal with thy servant according unto thy mercy, and teach me thy statutes."
125,Imperative,הֲבִינֵ֑/נִי,give understanding me,,Teach & Illuminate,"I am thy servant; give me understanding, that I may know thy testimonies."
132,Imperative,פְּנֵה\־,turn,Qal,Grace & Attention,"Look thou upon me, and be merciful unto me, as thou usest to do unto those that love thy name."
133,Imperative,הָכֵ֣ן,direct,Hiphil,Teach & Illuminate,Order my steps in thy word: and let not any iniquity have dominion over me.
134,Imperative,פְּ֭דֵ/נִי,redeem me,,Save & Deliver,Deliver me from the oppression of man: so will I keep thy precepts.
135,Imperative,הָאֵ֣ר,make shine,Hiphil,Teach & Illuminate,Make thy face to shine upon thy servant; and teach me thy statutes.
144,Imperative,הֲבִינֵ֥/נִי,give understanding me,,Teach & Illuminate,"The righteousness of thy testimonies is everlasting: give me understanding, and I shall live."
145,Imperative,עֲנֵ֥/נִי,answer me,,Save & Deliver,"I cried with my whole heart; hear me, O Lord: I will keep thy statutes."
146,Imperative,הוֹשִׁיעֵ֑/נִי,save me,,Save & Deliver,"I cried unto thee; save me, and I shall keep thy testimonies."
149,Imperative,שִׁמְעָ֣/ה,hear,,Grace & Attention,"Hear my voice according unto thy lovingkindness: O Lord, quicken me according to thy judgment."
149,Imperative,חַיֵּֽ/נִי\׃,preserve alive me,,Revive & Strengthen,"Hear my voice according unto thy lovingkindness: O Lord, quicken me according to thy judgment."
153,Imperative,רְאֵֽה\־,see,Qal,Grace & Attention,"Consider mine affliction, and deliver me: for I do not forget thy law."
154,Imperative,רִיבָ֣/ה,conduct,,Save & Deliver,"Plead my cause, and deliver me: quicken me according to thy word."
154,Imperative,חַיֵּֽ/נִי\׃,preserve alive me,,Revive & Strengthen,"Plead my cause, and deliver me: quicken me according to thy word."
156,Imperative,חַיֵּֽ/נִי\׃,preserve alive me,,Revive & Strengthen,"Great are thy tender mercies, O Lord: quicken me according to thy judgments."
159,Imperative,רְ֭אֵה,see,Qal,Grace & Attention,"Consider how I love thy precepts: quicken me, O Lord, according to thy lovingkindness."
159,Imperative,חַיֵּֽ/נִי\׃,preserve alive me,,Revive & Strengthen,"Consider how I love thy precepts: quicken me, O Lord, according to thy lovingkindness."
169,Imperative,הֲבִינֵֽ/נִי\׃,give understanding me,,Teach & Illuminate,"Let my cry come near before thee, O Lord: give me understanding according to thy word."
170,Imperative,הַצִּילֵֽ/נִי\׃,deliver me,,Revive & Strengthen,Let my supplication come before thee: deliver me according to thy word.
172,Jussive,תַּ֣עַן,may it sing,Qal,Other,My tongue shall speak of thy word: for all thy commandments are righteousness.
173,Jussive,תְּהִֽי\־,may it be,Qal,Other,Let thine hand help me; for I have chosen thy precepts.
175,Jussive,תְּֽחִי\־,may it live,Qal,Revive & Strengthen,"Let my soul live, and it shall praise thee; and let thy judgments help me."
176,Imperative,בַּקֵּ֣שׁ,seek,Piel,Grace & Attention,I have gone astray like a lost sheep; seek thy servant; for I do not forget thy commandments.
