Stanza,Letter,Name,Verses,Petitions,Devotion,Affliction,Seeking,Praise,Meditation,torah,edut,piqqud,choq,mitzvah,mishpat,davar,imrah
1,א,Alef,1–8,1,0,0,1,1,0,1,1,1,2,1,1,0,0
2,ב,Bet,9–16,1,1,0,1,1,1,0,1,1,2,1,1,2,1
3,ג,Gimel,17–24,4,2,2,0,0,1,1,2,0,1,2,1,1,0
4,ד,Dalet,25–32,5,0,0,0,1,1,1,1,1,1,1,1,2,0
5,ה,He,33–40,8,1,1,0,0,0,1,1,1,1,1,1,0,1
6,ו,Waw,41–48,1,2,0,2,0,1,1,1,1,1,2,1,2,1
7,ז,Zayin,49–56,1,0,1,1,0,0,3,0,1,1,0,1,1,1
8,ח,Het,57–64,2,0,0,0,1,0,1,1,1,1,1,1,1,1
9,ט,Tet,65–72,3,1,3,0,0,0,2,0,1,2,1,0,1,1
10,י,Yod,73–80,3,1,2,1,0,1,1,1,1,1,1,1,1,1
11,כ,Kaf,81–88,2,0,3,3,0,0,1,1,1,1,1,1,1,1
12,ל,Lamed,89–96,1,1,0,2,0,0,1,1,2,0,1,1,1,0
13,מ,Mem,97–104,1,1,1,0,0,0,1,1,2,0,1,1,1,1
14,נ,Nun,105–112,2,1,1,0,0,0,1,1,1,1,0,2,2,0
15,ס,Samek,113–120,2,2,1,1,0,0,1,1,0,2,1,1,1,1
16,ע,Ayin,121–128,3,1,3,1,0,0,1,1,1,1,1,1,0,1
17,פ,Pe,129–136,4,1,0,0,0,0,1,1,1,1,1,1,1,1
18,צ,Tsade,137–144,1,2,2,0,0,0,1,2,1,0,1,1,1,1
19,ק,Qof,145–152,3,0,1,1,0,1,1,2,0,1,1,1,1,1
20,ר,Resh,153–160,4,1,1,1,0,0,1,1,1,1,0,2,1,2
21,שׁ,Shin,161–168,0,3,2,0,1,0,2,2,1,0,1,1,1,1
22,ת,Taw,169–176,6,1,0,1,2,0,1,0,1,1,2,1,1,2
