chapter,n_words,n_verses,n_hiphil,hiphil_per_100w,hiphil_per_verse
1,237,33,8,3.38,0.24
2,143,22,4,2.8,0.18
3,258,35,6,2.33,0.17
4,200,27,12,6.0,0.44
5,160,23,3,1.88,0.13
6,271,35,6,2.21,0.17
7,193,27,5,2.59,0.19
8,258,36,5,1.94,0.14
9,127,18,6,4.72,0.33
10,234,32,12,5.13,0.38
11,223,31,6,2.69,0.19
12,202,28,7,3.47,0.25
13,183,25,5,2.73,0.2
14,248,35,9,3.63,0.26
15,252,33,11,4.37,0.33
16,252,33,7,2.78,0.21
17,227,28,18,7.93,0.64
18,175,24,6,3.43,0.25
19,230,29,13,5.65,0.45
20,226,30,2,0.88,0.07
21,233,31,6,2.58,0.19
22,225,29,6,2.67,0.21
23,274,35,9,3.28,0.26
24,269,34,10,3.72,0.29
25,239,28,8,3.35,0.29
26,211,28,3,1.42,0.11
27,212,27,4,1.89,0.15
28,229,28,18,7.86,0.64
29,204,27,10,4.9,0.37
30,301,33,11,3.65,0.33
31,219,31,2,0.91,0.06
