root_strongs,count,gloss
H7919A,13,[who] acts prudently
H3254H,11,adds
H0995,11,understanding
H3198,10,[one who] reproves
H5186,7,incline
H0954,6,[who] acts shamefully
H7181,6,be attentive
H5337,6,delivers
H6238,5,gain riches
H3190,5,makes good
H7725M,5,[one who] bring back
H7235A,5,[one who] increases
H2505B,4,makes smooth
H7489A,4,evil-doer
H2388H,4,[one who] takes hold
H6329,4,he obtained
H7725G,3,[one who] returns
H3318M,3,brings forth
H5042,3,pours forth
H7725I,3,he will turn back
H7368,3,far away
H3887,3,mocks
H3559A,3,they prepared
H6504,3,[is] separating
H5221,3,more than/ striking
H7843,3,[one who] destroys
H0748,3,will prolong
H5234A,2,pay regard to
H5157,2,leaves an inheritance to
H3867B,2,[is] lending to
H7311A,2,[is] exalting
H5046,2,declares
H7185,2,[one who] hardens
H5493H,2,[one who] turns aside
H6974,2,you will awake
H5810,2,makes strong
H5253,2,displace
H5307H,2,has made fall
H2790B,2,[who] keeps silent
H7725K,2,will repay
H2300B,2,sharpens
H2659,2,[who] causes shame
H7561,2,[one who] condemns as guilty
H3045,2,me declare
H3254G,2,adds
H3276,2,profits
H3318O,2,[one who] spreads
H3637,2,shames
H0539,2,believes
H8252,1,makes quiet
H6663,1,[one who] justifies
H6567B,1,will sting
H6565A,1,go wrong
H8446,1,makes a search
H6743B,1,will prosper
H6524A,1,will flourish
H6965I,1,he set up
H7503,1,let go
H7999B,1,causes to be at peace
H7925,1,rising early
H7280A,1,will grant rest
H7301,1,[one who] gives water
H7725H,1,will restore
H7686,1,[one who] leads astray
H7673A,1,puts an end to
H7337,1,makes space
H7456,1,allows to hunger
H7666,1,[one who] sells grain
H0215,1,[is] giving light to
H6275,1,copied
H3365,1,make rare
H3782,1,bring injury
H3559H,1,directs
H3474,1,them look straight
H3467,1,may he deliver
H3384B,1,[he is] pointing
H3381,1,he brought down
H3034,1,[one who] confesses
H3847,1,will clothe [them]
H2470H,1,[is] making sick
H2204,1,will be old
H1361,1,[one who] makes high
H1272,1,drives away
H0935P,1,brings
H0887,1,acts odiously
H3803,1,surround
H3868,1,them depart
H6030B,1,[will be one who] answers
H5493G,1,remove
H5975I,1,establishes
H5956,1,[one who] hides
H5927H,1,raises
H5774A,1,¿/ do you cause to fly
H5710A,1,[one who] removes
H5641,1,conceal
H5381,1,reach
H3960,1,slander
H5324,1,he will establish
H0238,1,[is] giving ear
H5307G,1,makes fall
H5148,1,will guide
H5027,1,them look
H4229A,1,wiping out
H8582,1,[is] leading astray
