chapter,n_words,n_verses,n_hiphil,hiphil_per_100w,hiphil_per_verse
1,67,6,1,1.49,0.17
2,92,12,2,2.17,0.17
3,70,9,3,4.29,0.33
4,77,9,2,2.6,0.22
5,111,13,2,1.8,0.15
6,84,11,3,3.57,0.27
7,142,18,6,4.23,0.33
8,77,10,1,1.3,0.1
9,164,21,2,1.22,0.1
10,162,18,6,3.7,0.33
11,68,8,1,1.47,0.12
12,79,9,2,2.53,0.22
13,55,7,1,1.82,0.14
14,73,8,5,6.85,0.62
15,55,6,2,3.64,0.33
16,97,12,1,1.03,0.08
17,124,16,6,4.84,0.38
18,397,51,14,3.53,0.27
19,126,15,5,3.97,0.33
20,70,10,2,2.86,0.2
21,104,14,0,0.0,0.0
22,253,32,8,3.16,0.25
23,57,7,0,0.0,0.0
24,89,11,0,0.0,0.0
25,160,23,4,2.5,0.17
26,85,13,2,2.35,0.15
27,149,15,5,3.36,0.33
28,96,10,1,1.04,0.1
29,91,12,3,3.3,0.25
30,97,13,5,5.15,0.38
31,220,25,5,2.27,0.2
32,110,12,5,4.55,0.42
33,161,22,8,4.97,0.36
34,165,23,3,1.82,0.13
35,229,29,5,2.18,0.17
36,100,13,4,4.0,0.31
37,298,41,8,2.68,0.2
38,168,23,5,2.98,0.22
39,129,14,5,3.88,0.36
40,185,18,2,1.08,0.11
41,119,14,4,3.36,0.29
42,132,12,2,1.52,0.17
43,59,5,1,1.69,0.2
44,198,27,6,3.03,0.22
45,160,18,2,1.25,0.11
46,100,12,3,3.0,0.25
47,77,10,2,2.6,0.2
48,111,15,0,0.0,0.0
49,167,21,4,2.4,0.19
50,178,24,7,3.93,0.29
51,153,20,5,3.27,0.25
52,90,10,1,1.11,0.1
53,77,7,5,6.49,0.71
54,62,8,2,3.23,0.25
55,192,24,8,4.17,0.33
56,121,14,2,1.65,0.14
57,106,12,3,2.83,0.25
58,100,12,1,1.0,0.08
59,156,18,1,0.64,0.06
60,113,13,4,3.54,0.31
61,68,9,1,1.47,0.11
62,117,13,1,0.85,0.08
63,93,12,0,0.0,0.0
64,82,11,3,3.66,0.27
65,109,14,4,3.67,0.29
66,154,21,6,3.9,0.29
67,53,8,1,1.89,0.12
68,310,36,9,2.9,0.25
69,291,37,7,2.41,0.19
70,47,6,1,2.13,0.17
71,203,24,7,3.45,0.29
72,162,21,6,3.7,0.29
73,193,29,5,2.59,0.17
74,195,24,7,3.59,0.29
75,87,11,10,11.49,0.91
76,90,13,3,3.33,0.23
77,154,21,4,2.6,0.19
78,530,73,33,6.23,0.45
79,132,14,4,3.03,0.29
80,141,20,6,4.26,0.3
81,125,17,7,5.6,0.41
82,61,9,2,3.28,0.22
83,130,19,1,0.77,0.05
84,116,13,2,1.72,0.15
85,96,14,2,2.08,0.14
86,147,18,3,2.04,0.17
87,54,8,1,1.85,0.12
88,142,19,6,4.23,0.32
89,384,53,13,3.39,0.25
90,140,18,4,2.86,0.22
91,112,16,2,1.79,0.12
92,112,16,8,7.14,0.5
93,45,5,0,0.0,0.0
94,169,23,10,5.92,0.43
95,89,11,3,3.37,0.27
96,112,13,0,0.0,0.0
97,95,12,3,3.16,0.25
98,75,10,4,5.33,0.4
99,83,9,1,1.2,0.11
100,43,6,2,4.65,0.33
101,83,9,4,4.82,0.44
102,213,29,4,1.88,0.14
103,167,23,5,2.99,0.22
104,271,35,7,2.58,0.2
105,294,45,13,4.42,0.29
106,330,48,20,6.06,0.42
107,278,43,13,4.68,0.3
108,99,14,2,2.02,0.14
109,227,32,5,2.2,0.16
110,65,8,1,1.54,0.12
111,74,10,2,2.7,0.2
112,79,10,1,1.27,0.1
113,60,9,6,10.0,0.67
114,52,8,0,0.0,0.0
115,135,18,1,0.74,0.06
116,131,19,4,3.05,0.21
117,17,2,0,0.0,0.0
118,198,29,4,2.02,0.14
119,1064,176,23,2.16,0.13
120,51,8,1,1.96,0.12
121,56,9,0,0.0,0.0
122,62,10,1,1.61,0.1
123,41,5,0,0.0,0.0
124,57,9,0,0.0,0.0
125,49,6,1,2.04,0.17
126,50,7,2,4.0,0.29
127,60,6,1,1.67,0.17
128,47,7,0,0.0,0.0
129,54,9,1,1.85,0.11
130,54,9,2,3.7,0.22
131,33,4,0,0.0,0.0
132,131,19,6,4.58,0.32
133,40,4,0,0.0,0.0
134,25,4,0,0.0,0.0
135,167,21,5,2.99,0.24
136,166,26,9,5.42,0.35
137,84,9,1,1.19,0.11
138,76,9,3,3.95,0.33
139,177,25,5,2.82,0.2
140,116,14,2,1.72,0.14
141,95,11,2,2.11,0.18
142,75,8,5,6.67,0.62
143,117,13,4,3.42,0.31
144,130,16,3,2.31,0.19
145,159,22,5,3.14,0.23
146,85,10,1,1.18,0.1
147,141,20,6,4.26,0.3
148,111,14,1,0.9,0.07
149,64,9,0,0.0,0.0
150,37,6,0,0.0,0.0
