root_strongs,count,gloss,lemma
H3034,38,give thanks,הֹדוֹת
H7725,21,will bring back,שָׁב
H5046,20,will declare,הִגִּיד
H3467,16,will save,הוֹשִׁיעַ
H5027,15,attention,הִבִּיט
H5186,15,incline,נָטָה
H3559,14,establish,הֵכִין
H7489,14,evil-doers,רַע
H0215,13,make shine,אוֹר
H5641,13,hide,הִסְתִּיר
H5221,12,he struck down,הִכָּה
H5337,11,[is] a deliverer,הִצִּיל
H7311,11,lifts up,הֵרִים
H7919,10,[one who] acts prudently,שָׂכַל
H7321,9,shout for joy,נָרִיעָה
H3318,9,he brought out,יָצָא
H1431,8,has made great,גָדַל
H3045,8,make known,יָדַע
H3254,8,will repeat,יָסַף
H0539,7,believed,הֶאֱמִין
H2142,6,will bring to remembrance,זָכַר
H4784,6,they rebelled,מָרָה
H7993,6,throw,הִשְׁלִיךְ
H7337,6,they have opened wide,רָחַב
H5307,5,make fall,נָפַל
H5042,5,will pour forth,אַבִּיעָה
H5493,5,remove,סָר
H5927,5,will lift up,עָלָה
H3772,5,cut off,כָּרַת
H6965,5,[he is] raising,קָם
H3176,5,wait,אֹחִילָה
H6692,5,may people blossom,צָץ
H8085,4,make heard,שָׁמַע
H7368,4,have removed far away,רָחַק
H7673,4,[he is] making cease,שָׁבַת
H0516,4,tashcheth,אַל
H8213,4,[is] bringing low,שָׁפֵל
H7843,4,act corruptly,הִשְׁחִית
H5782,4,will waken,הֵעִיר
H3427,4,[he is] causes to dwell,יָשַׁב
H6789,4,will destroy,נִצְמָתוּ
H6974,4,awoke,הֵקִיץ
H0935,4,he brought,בָּא
H7235,4,great,הִרְבָּה
H3190,4,[are] doing good,הֵיטִיב
H7646,4,will satisfy,שָׂבַע
H5462,3,he delivered up,סָגַר
H8248,3,[he is] watering,הַשְׁקוֹת
H7503,3,quiet,רָפָה
H4305,3,he rained down,הִמְטִיר
H5674,3,take away,עָבַר
H0954,3,have put [them] to shame,הֹבִישׁ
H8259,3,looks down,הִשְׁקִיף
H5060,3,they reached,נָגַע
H0238,3,he will give ear,הֶאֱזִין
H5265,3,he led out,נָסַע
H4171,3,they exchanged,הֵמִיר
H5975,3,made stand,עָמַד
H0995,3,[is] understanding,הֵבִין
H6779,3,will make grow,צָֽמַח
H7442,3,shout for joy,הַרְנִינוּ
H5749,2,i will warn,הֵעִיד
H6565,2,break,הֵפֵר
H8045,2,will destroy,הִשְׁמִיד
H7931,2,he caused to dwell,שָׁכֵן
H5324,2,he made to stand up,הִצִּיב
H7181,2,has paid attention,הִקְשִׁיב
H6743,2,[one who] makes prosperous,הִצְלִיחַ
H6395,2,has set apart,הִפְלָה
H6485,2,entrust,פָקַד
H5844,2,covers [it],יַעְטֶה
H7561,2,condemn as guilty,הִרְשִׁיעַ
H6331,2,will break off,הֵפִיר
H5526,2,you may cover,הָסֵךְ
H6329,2,providing,תָּפֵק
H7481,2,he thundered,הִרְעִים
H5362,2,have surrounded,הִקִּֽיף
H8581,2,they act abominably,תְתַעֵב
H3313,2,has shone forth,הוֹפִיעַ
H2986,2,them bring,אוּבָֽל
H1696,2,he has subdued,דִּבֶּר
H4529,2,melt,הִמְסִיו
H2790,2,kept silent,הֶחֱרִשׁ
H2342,2,causes to tremble,יָחֻלוּ
H2821,2,he made dark,חָשַׁךְ
H3867,2,[he is] lending,יִלָּוֶה
